doc_title,chunk_id,text,scene_context
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_0,What do you mean?,"On the bed, Alexei and Nadia discuss stopping."
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_0,Do you want to stop?,"On the bed, Alexei and Nadia discuss stopping."
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_0,We'll stop then.,"On the bed, Alexei and Nadia discuss stopping."
76、INT. JOHN'S LIVING ROOM - NIGHT,doc_75_chunk_0,Nasyekski.,"At a table, Alexei speaks to Yuri about the squashed ant."
167、INT. ALEXEI'S SUITE - NIGHT,doc_166_chunk_0,Don't do this.,"Room, Alexei speaking to Nadia about not getting passports."
165、INT. ALEXEI'S SUITE - NIGHT,doc_164_chunk_2,What. You're what? You're with this creep now.,Confrontation with Nadia; Alexei accuses her of being with John.
165、INT. ALEXEI'S SUITE - NIGHT,doc_164_chunk_2,You have. You've actually fallen for this prick.,Confrontation with Nadia; Alexei accuses her of being with John.
165、INT. ALEXEI'S SUITE - NIGHT,doc_164_chunk_2,Babe it's me. I won't let you get away.,Confrontation with Nadia; Alexei accuses her of being with John.
112、INT. MOTEL CHALET 17 - NIGHT,doc_111_chunk_3,So. How many times did you have to fuck him?,"On the bed, Alexei discusses her past with Nadia."
156、INT. INSIDE ALEXEI'S SUITE - NIGHT,doc_155_chunk_0,he's coming,Room: Alexei speaks to Yuri about coming.
112、INT. MOTEL CHALET 17 - NIGHT,doc_111_chunk_1,SSShhh,
112、INT. MOTEL CHALET 17 - NIGHT,doc_111_chunk_1,You first.,Counting money with Yuri
112、INT. MOTEL CHALET 17 - NIGHT,doc_111_chunk_1,There's over eighty thousand here.,Counting money with Yuri and Nadia
112、INT. MOTEL CHALET 17 - NIGHT,doc_111_chunk_1,Put it in the cases. Split it up. And don't forget you owe me 150.,Dividing the money with Yuri
165、INT. ALEXEI'S SUITE - NIGHT,doc_164_chunk_1,What the fuck is he doing here?,Indoor scene: Alexei confronts John about his presence and a gun.
165、INT. ALEXEI'S SUITE - NIGHT,doc_164_chunk_1,That's that cigarette lighter I gave you isn't it?,Indoor scene: Alexei identifies a cigarette lighter he gave to John.
165、INT. ALEXEI'S SUITE - NIGHT,doc_164_chunk_1,What? What are you doing?,Indoor scene: Alexei reacts to Nadia holding a knife.
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_3,What?,"With Nadia, after her pregnancy announcement"
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_3,A baby? What are we supposed to do with a baby?,"With Nadia, after her repeated pregnancy announcement"
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_2,Yeah.,Nadia asks if Alexei likes the jumper.
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_2,Thank you.,Nadia asks Alexei to say thank you for the jumper.
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_1,What's this?,Alexei questions Nadia about a burn from cooking.
114、INT. MOTEL BEDROOM - NIGHT,doc_113_chunk_1,On both wrists?,Alexei asks about the burn being on both wrists.
