doc_title,chunk_id,text,scene_context
114、INT. MRS JENNINGS'S HOUSE - STUDY - DAY,doc_113_chunk_10,But you are only just arrived!,
105、INT. GRAND BALLROOM - EVE,doc_104_chunk_10,"Good God, Willoughby! Will you nor shake hands with me?",
103、INT. MRS JENNINGS'S HOUSE - HALL - MORNING,doc_102_chunk_1,"Of course! I had not thought of-- thank you, Mrs Jennings!",
108、INT. MRS JENNINGS'S HOUSE - BEDROOM - DAY,doc_107_chunk_4,"He did! He did--he loved me as I
loved him.",
121、INT. MRS JENNINGS'S HOUSE - BEDROOM - DAY,doc_120_chunk_5,"Oh, Elinor!",
121、INT. MRS JENNINGS'S HOUSE - BEDROOM - DAY,doc_120_chunk_4,"Always resignation and acceptance! Always prudence and honour and duty! Elinor, where is your heart?",
105、INT. GRAND BALLROOM - EVE,doc_104_chunk_9,Willoughby!,"Scene: In a crowded room during a social gathering, Marianne sees Willoughby and calls out to him with joy, drawing attention from others."
101、INT. MRS JENNINGS'S HOUSE - BEDROOM - NIGHT,doc_100_chunk_0,Nothing at all. Go back to sleep.,"Scene: In a bedroom at night, Marianne responds to Elinor who has woken up and noticed her writing a letter."
105、INT. GRAND BALLROOM - EVE,doc_104_chunk_14,"Go to him, Elinor--force him to come to me.","Scene: In a public setting with onlookers, Marianne speaks to Elinor, urging her to bring someone to her."
128、EXT. CLEVELAND - DRIVE - AFTERNOON,doc_127_chunk_2,"I will keep to the garden, near the house.","Scene: In or near a house, Marianne responds to Elinor and indicates she will stay in the garden."
108、INT. MRS JENNINGS'S HOUSE - BEDROOM - DAY,doc_107_chunk_7,Cannot we hire a carriage?,
108、INT. MRS JENNINGS'S HOUSE - BEDROOM - DAY,doc_107_chunk_7,"All she wants is gossip and she only likes me because I supply it! Oh, God! I cannot endure to stay.",
114、INT. MRS JENNINGS'S HOUSE - STUDY - DAY,doc_113_chunk_8,Why have you taken so long to come and see us?,
114、INT. MRS JENNINGS'S HOUSE - STUDY - DAY,doc_113_chunk_8,Engaged elsewhere! But what was that when there were such friends to be met?,
17、INT. NORLAND PARK - ELINOR'S BEDROOM - DAY,doc_16_chunk_2,I have! I have said 'yes' and 'no'.,
167、INT. CLEVELAND - ELINOR AND MARIANNE'S BEDROOM - MORNING,doc_166_chunk_1,Colonel Brandon.,
167、INT. CLEVELAND - ELINOR AND MARIANNE'S BEDROOM - MORNING,doc_166_chunk_1,Thank you.,
109、INT. COFFEE-HOUSE - COVENT GARDEN - DAY,doc_108_chunk_1,"My love, I would ask them with all my heart, but I have already asked Miss Steele for a visit and we cannot deprive Mrs Jennings of all her company at once. We can invite your sisters some other year, you know, and Miss Steele will profit far more from your generosity--poor girl!",
142、EXT. THE HILL - DAY,doc_141_chunk_0,Willoughby... Willoughby...,"Scene: Marianne stares at Combe Magna and calls out to Willoughby as though he were nearby; the context suggests a solitary, emotional moment with no one else visibly present."
114、INT. MRS JENNINGS'S HOUSE - STUDY - DAY,doc_113_chunk_9,"No, indeed--for Edward is the most fearful of giving pain and the most incapable of being selfish of anyone I ever saw.",
114、INT. MRS JENNINGS'S HOUSE - STUDY - DAY,doc_113_chunk_9,"Edward, will you not sit? Elinor, help me to persuade him.",
164、INT. CLEVELAND - ELINOR AND MARIANNE'S BEDROOM - MORNING,doc_163_chunk_0,Elinor?,"Scene: In a bedroom, Marianne whispers from her bed while Elinor is nearby; Marianne is recovering and calls out to her sister."
167、INT. CLEVELAND - ELINOR AND MARIANNE'S BEDROOM - MORNING,doc_166_chunk_0,Where is Elinor?,"Scene: MARIANNE, weak and anxious, whispers urgently while in her mother's arms; she is asking about Elinor's presence."
113、INT. MRS JENNINGS'S HOUSE - BEDROOM - NIGHT,doc_112_chunk_0,Of course.,"Scene: In a bedroom, Marianne is speaking with Elinor about whether Elinor was right to reveal information regarding a man's feelings."
113、INT. MRS JENNINGS'S HOUSE - BEDROOM - NIGHT,doc_112_chunk_0,But not enough. Not enough.,"Scene: In a bedroom, Marianne is speaking with Elinor about the depth of a man's love for her."
128、EXT. CLEVELAND - DRIVE - AFTERNOON,doc_127_chunk_1,There was no other way you said so yourself.,
128、EXT. CLEVELAND - DRIVE - AFTERNOON,doc_127_chunk_1,I am stiff from sitting so long. Will you tell Charlotte that I am going for a stroll?,
128、EXT. CLEVELAND - DRIVE - AFTERNOON,doc_127_chunk_1,"No, no, it will not rain.",
108、INT. MRS JENNINGS'S HOUSE - BEDROOM - DAY,doc_107_chunk_3,We are not engaged.,
108、INT. MRS JENNINGS'S HOUSE - BEDROOM - DAY,doc_107_chunk_3,No--he is not so unworthy as you think him.,
108、INT. MRS JENNINGS'S HOUSE - BEDROOM - DAY,doc_107_chunk_3,"Yes. No--never absolutely. It was every day implied, but never declared. Sometimes I thought it had been, but it never was. He has broken no vow.",
114、INT. MRS JENNINGS'S HOUSE - STUDY - DAY,doc_113_chunk_11,Why did you not urge him to stay?,Scene: After Edward leaves; Marianne speaks to her sister Elinor about Edward's departure.
114、INT. MRS JENNINGS'S HOUSE - STUDY - DAY,doc_113_chunk_11,His reason was no doubt your coldness. If I were Edward I would assume you did not care for me at all.,Scene: After Edward leaves; Marianne speaks to her sister Elinor about Edward's feelings.
171、EXT. DOWNS NEAR BARTON COTTAGE - DAY,doc_170_chunk_0,"There I fell, and there I first saw Willoughby. Poor Willoughby. He will always regret you. But does it follow that, had he chosen me, he would have been content?",
182、INT. BARTON COTTAGE - PARLOUR - DAY,doc_181_chunk_1,"Thank you, Edward, we are all very well.",
169、INT. BARTON COTTAGE - PARLOUR - DAY,doc_168_chunk_2,Shall we continue tomorrow?,
169、INT. BARTON COTTAGE - PARLOUR - DAY,doc_168_chunk_2,Away? Where?,
169、INT. BARTON COTTAGE - PARLOUR - DAY,doc_168_chunk_2,But you will not stay away long?,
173、INT. BARTON COTTAGE - PARLOUR - DAY,doc_172_chunk_4,Did Mrs Ferrars seem well?,"Scene: Inside a house, Marianne speaks with Thomas, the servant, asking about Mrs Ferrars after he delivers news."
19、INT. NORLAND PARK - MARGARET'S BEDROOM - DAY,doc_18_chunk_0,Intolerable woman!,
140、EXT. THE HILL - DAY,doc_139_chunk_0,"Love is not love Which alters when it alteration finds Or bends with the remover to remove: 0, no! it is an ever-fixed mark That looks on tempests and is never shaken...","Scene at the top of a hill during a storm; Marianne is alone, staring at the spires of Combe Magna, reciting a soliloquy about the nature of love."
108、INT. MRS JENNINGS'S HOUSE - BEDROOM - DAY,doc_107_chunk_0,"My dear Madam--I am quite at a loss to discover in what point I could be so unfortunate as to offend you. My esteem for your family is very sincere but if I have given rise to a belief of more than I felt or meant to express, I shall reproach myself for not having been more guarded. My affections have long been engaged","Scene: In a bedroom, Marianne reads a letter aloud to Elinor; the letter is about her feelings and a romantic misunderstanding."
105、INT. GRAND BALLROOM - EVE,doc_104_chunk_12,"Willoughby, what is the matter? Why have you not come to see me? Were you not in London? Have you norceived my letters?",Scene or location not specified: Marianne confronts Willoughby about his absence and lack of response to her letters.
105、INT. GRAND BALLROOM - EVE,doc_104_chunk_12,"For heaven's sake, Willoughby, tell me what is wrong!",Scene or location not specified: Marianne pleads with Willoughby to explain his strange behavior.
