doc_title,chunk_id,text,scene_context
153、电梯外，日，内,doc_152_chunk_0,三宝！,大厅门前电梯处，包世宏在危机中喊三宝。
122、土贼房间\\保安房间，傍晚，内,doc_121_chunk_0,翡翠……（冷静地）好，在哪儿见？,阳台：包世宏与道哥讨论翡翠交换地点。
121、保安房间，日，内,doc_120_chunk_0,喂……（突然一抬头，瞳孔放大）谢小盟……你在哪儿？,房间中，包世宏接电话询问谢小盟的位置。
14、展厅内，日，内,doc_13_chunk_0,藏朗朗拔出宝剑，哗啦拉马踏连营。,展厅一角，包世宏朝厂长走去，学着刘兰芳说台词。
101、文庙厕所，夜，内,doc_100_chunk_0,尿都尿不出来，操，傻逼！,在镜子前，发泄后，抱怨尿不出。
118、派出所，日，内,doc_117_chunk_0,我是他爸的同事。,在办公桌前，与老警察讨论失踪案
118、派出所，日，内,doc_117_chunk_0,我……,在办公桌前，与老警察讨论失踪案
129、文庙附近的街道，夜，外,doc_128_chunk_0,对不起。,奥迪车旁，包世宏向秃顶男人道歉。
148、江边游轮上，昏，外,doc_147_chunk_0,这几天就像放电影似的，像是一下过去了几十年，快的浑身骨头都散了架，突然觉得过去活的像个畜生，好像做的事情都没意义了。,江边护栏，包世宏与小娟对话，讨论过去生活感受。
148、江边游轮上，昏，外,doc_147_chunk_0,笑啥？,江边护栏，小娟笑后，包世宏询问。
148、江边游轮上，昏，外,doc_147_chunk_0,假的！,江边护栏，包世宏拿出翡翠时说'假的'。
3、医院走廊，日，内,doc_2_chunk_0,稀吗？,在走廊，包世宏与三宝对话。
30、文庙院里，日，外,doc_29_chunk_0,对面招待所，最边上那个房间，包下来。,大厅外，包世宏与三宝讨论包下帝豪招待所最边上的房间。
30、文庙院里，日，外,doc_29_chunk_0,要想有效的保护对象，就要住到最便于监控的地方。从明天开展到展会结束，我们二十四小时盯着。这就叫那啥……知道吧？,大厅外，包世宏向三宝解释监控计划。
151、周办外的走道，日，内,doc_150_chunk_0,啥？姓秦的不在了？我驾照还在他手里呢！,前台：与招待小姐理论姓秦的不在和驾照问题。
151、周办外的走道，日，内,doc_150_chunk_0,这你们怎么能不管呢，不行，你们得帮我把那小子找到……,前台：与招待小姐理论姓秦的不在和驾照问题。
114、厂长办公室，日，内,doc_113_chunk_0,劈了他！,关公像前，包世宏回应厂长的提问
14、展厅内，日，内,doc_13_chunk_4,啊哟，老谢，老谢，小孩子的事哪能生那么大的火呐。,在工厂，包世宏劝解厂长不要发火
14、展厅内，日，内,doc_13_chunk_4,老谢、老谢，别动家伙。,在工厂，包世宏阻止厂长持刀
29、文庙展厅，日，内,doc_28_chunk_0,八百万？谁买呀。,庙里展柜前，包世宏与三宝讨论翡翠价格。
140、文庙展厅/通风管道，夜，内,doc_139_chunk_0,完璧归赵。咱俩命大，总算没毁了咱厂，闭展前找回来了。,展厅中，包世宏与三宝讨论找回翡翠赝品。
140、文庙展厅/通风管道，夜，内,doc_139_chunk_0,别价啊，我留个纪念。,展厅中，包世宏与三宝处理珠宝盒。
140、文庙展厅/通风管道，夜，内,doc_139_chunk_0,……幸亏我警校练过，眼疾手快，一把就把那小子从摩托车上镐下来，妈的还把我也拽了一跟头……,包世宏内心独白，回忆警校经历。
4、面包车内，日，内,doc_3_chunk_0,要不我考这驾照呢？我小舅子还等我跑夜途呢……,车内，包世宏与三宝对话，讨论考驾照和跑夜途。
4、面包车内，日，内,doc_3_chunk_0,都快关门了，你还指望天上掉馅饼？,车内，包世宏与三宝对话，讨论工厂关门和翡翠新闻。
38、保安房间/土贼房间，夜，内,doc_37_chunk_0,过来帮个忙！,房间内，包世宏在墙上比文庙图纸板位置，对三宝请求帮忙。
143、文庙展厅，日，内,doc_142_chunk_0,谢老梆子，你生儿子没屁眼，你个奸贼，你还记得当初咋说的！你口口声声说卖石头救厂，厂子里老老少少都只望着开工呐，你他妈把全厂老少都给卖了，王八蛋！。,翡翠工艺品展出闭幕式：包世宏对厂长指责卖厂行为。
149、厂长办公室，日，内,doc_148_chunk_0,人是真贱，就这点玩意，把一个好好的工艺品厂变成了大饭店？啥事都不得不变，我也该变变了。,办公室：厂长宣布厂子将变酒店后，包世宏的回应。
51、文庙墙根，夜，外,doc_50_chunk_0,我啊。,文庙门口，消防队长询问负责人身份
15、工厂院内，日，外,doc_14_chunk_0,"……光天化日歹徒行凶，人民卫士光荣负伤……这绝对不是我们警校的，抓个流氓都这么费劲，就手拿包白灰""啪""往他脸上一糊，还能让他扎着！",花坛边，包世宏看报纸时自言自语，主题：警校和抓流氓
15、工厂院内，日，外,doc_14_chunk_0,听我的，没错，画吧。,文庙平面图绘制中，包世宏指导男仙
42、文庙展厅内，夜，内,doc_41_chunk_0,你知道为什么把文庙盖到这？这个地方可不干净，盖庙就为了避邪，几个朝代都是万人坑，一到晚上就听着千军万马的，邪的很（指男仙头上的梁）就这梁上还吊死过人。,饭桌：包世宏讲鬼故事，提到文庙和梁上吊死人。
42、文庙展厅内，夜，内,doc_41_chunk_0,消防车……哪又着了？,饭桌：包世宏听到消防车警笛声，判断着火。
14、展厅内，日，内,doc_13_chunk_2,小盟？啊哟，怎么搞成这样了，你不是去香港了吗？,谢小盟一瘸一拐进入后，包世宏询问其伤势。
14、展厅内，日，内,doc_13_chunk_2,搞活动，搞死我算了。（看看谢小盟的腿）我扶你一把？,谢小盟提及活动后，包世宏抱怨并询问是否扶他。
45、文庙回廊，夜，外,doc_44_chunk_0,分头追，那边！,墙边，包世宏对三宝说分头追。
45、文庙回廊，夜，外,doc_44_chunk_0,这边，这边！,追捕中，包世宏对保安说方向。
14、展厅内，日，内,doc_13_chunk_1,你也不闲丢人，办展览不去展览中心，跑这瞎搞，不伦不类嘛！,在厂长办公室，与厂长讨论旅游区展览安全问题
14、展厅内，日，内,doc_13_chunk_1,这可是旅游区，流动人口是最大的隐患！这是刑侦常识。,在厂长办公室，与厂长讨论旅游区展览安全问题
