doc_title,chunk_id,description,scene_context
31、INT. BETTS' APARTMENT -- NIGHT,doc_30_chunk_1,Janine nods.,
20、INT. ST. LUC'S OFFICE -- AFTERNOON,doc_19_chunk_1,Janine smiles and shakes her head.,
56、INT. TUDOR'S APARTMENT -- NIGHT,doc_55_chunk_2,Janine is slightly repulsed,
14、INT. TUDOR'S APARTMENT -- MORNING,doc_13_chunk_2,Janine waits for Tudor to say something else.,
14、INT. TUDOR'S APARTMENT -- MORNING,doc_13_chunk_1,Janine pokes her head around the corner to investigate.,
15、INT. WOMEN'S SAUNA -- AFTERNOON,doc_14_chunk_3,JANINE (not displeased with the idea),
33、INT. TUDOR'S APARTMENT -- NIGHT,doc_32_chunk_7,Janine reaches out to pull back the covers again,
15、INT. WOMEN'S SAUNA -- AFTERNOON,doc_14_chunk_0,"Janine sits in the middle of a bench, towel around her head and middle.",
20、INT. ST. LUC'S OFFICE -- AFTERNOON,doc_19_chunk_2,"Janine gets up, opens the door to the reception area, and leaves, closing the door behind her.",
14、INT. TUDOR'S APARTMENT -- MORNING,doc_13_chunk_3,Janine sighs in a very obvious way,
14、INT. TUDOR'S APARTMENT -- MORNING,doc_13_chunk_3,Janine disappears,
59、INT. TUDOR'S APARTMENT -- NIGHT,doc_58_chunk_1,"Janine tries to buy time by saying she wants to go into the bathroom to put in her contacts, pleading with him to believe her.",
31、INT. BETTS' APARTMENT -- NIGHT,doc_30_chunk_2,Janine nods.,
31、INT. BETTS' APARTMENT -- NIGHT,doc_30_chunk_2,Janine wiggles her fingers goodbye and leaves.,
30、INT. HALLWAY -- NIGHT,doc_29_chunk_0,"Janine walks along a hallway, stops at a door, knocks gently, and then opens the door and walks in, obviously very familiar with the occupant.",
56、INT. TUDOR'S APARTMENT -- NIGHT,doc_55_chunk_3,"Janine hesitantly helps Tudor remove his shirt and begins to caress him in a perfunctory way, tears in her eyes.",
20、INT. ST. LUC'S OFFICE -- AFTERNOON,doc_19_chunk_0,"Janine sits opposite St. Luc, who has a file open before him on his desk.","Scene: Inside St. Luc's office, during a medical consultation."
17、INT. CLINIC RECEPTION AT STARLINER TOWERS -- AFTERNOON,doc_16_chunk_2,"Janine gets up, excusing herself to Mr. Parkins.",
17、INT. CLINIC RECEPTION AT STARLINER TOWERS -- AFTERNOON,doc_16_chunk_2,She follows St. Luc into his office.,
33、INT. TUDOR'S APARTMENT -- NIGHT,doc_32_chunk_6,"Janine stands at the bedroom door for an instant, then approaches the bedside.",
33、INT. TUDOR'S APARTMENT -- NIGHT,doc_32_chunk_6,She moves as though her hands were,
15、INT. WOMEN'S SAUNA -- AFTERNOON,doc_14_chunk_2,Janine listens to Betts giving advice about Tudor's disease.,
15、INT. WOMEN'S SAUNA -- AFTERNOON,doc_14_chunk_2,Janine responds that Nick hates doctors and never goes to them.,
59、INT. TUDOR'S APARTMENT -- NIGHT,doc_58_chunk_7,Janine is paralyzed with horror.,
33、INT. TUDOR'S APARTMENT -- NIGHT,doc_32_chunk_8,Janine straightens up. Her hands come up to her face and tears well up in her eyes.,
33、INT. TUDOR'S APARTMENT -- NIGHT,doc_32_chunk_8,"She turns and walks angrily out of the room, slamming the door behind her.",
32、INT. HALLWAY -- NIGHT,doc_31_chunk_0,"Janine walks down the hallway to her apartment, her Vogue rolled up under her arm.",Hallway leading to her apartment.
32、INT. HALLWAY -- NIGHT,doc_31_chunk_0,She opens the door to her apartment -- it's not locked -- and goes in.,Outside her apartment door.
