doc_title,chunk_id,description,scene_context
18.豪华酒店|内|日,doc_17_chunk_0,王老师假装推托，咳了咳嗓子。,
18.豪华酒店|内|日,doc_17_chunk_3,王老师故意咳嗽一声。,
18.豪华酒店|内|日,doc_17_chunk_3,王老师脸上抽搐着横肉。,
16.豪华酒店|内|日,doc_15_chunk_1,没认出夏洛,
46.校园的各个角落|日,doc_45_chunk_0,王老师手里剥着鸡蛋气得站起来。,46d. 老师办公室
46.校园的各个角落|日,doc_45_chunk_0,王老师咬了一口鸡蛋。,46d. 老师办公室
21.高中教室|内|日,doc_20_chunk_4,王老师摘下书包看着大春,教室，讲台旁
21.高中教室|内|日,doc_20_chunk_4,王老师气晕倒,教室，讲台旁
56.影壁墙后楼梯|外|日,doc_53_chunk_0,王老师和家长们惊讶的看着张扬父亲。,散会后，家长围聚时
30.操场领操台|外|日,doc_29_chunk_0,王老师狠狠瞪着夏洛。,广播室大喇叭开会
30.操场领操台|外|日,doc_29_chunk_0,王老师鼓掌。,广播室大喇叭开会
31.教室|日|内,doc_30_chunk_0,对着黑板写着考题,
31.教室|日|内,doc_30_chunk_0,回过头,
31.教室|日|内,doc_30_chunk_0,继续讲课,
31.教室|日|内,doc_30_chunk_1,走到夏洛旁边,教室，夏洛要求换座
31.教室|日|内,doc_30_chunk_1,转身从教室后回到第一排,教室，表扬袁华
71.学校教室|内|日|雨（深秋）,doc_69_chunk_0,王老师喋喋不休的训着话。,教室
16.豪华酒店|内|日,doc_15_chunk_2,（尴尬）,
31.教室|日|内,doc_30_chunk_2,王老师追出去,教室门口，校长要求王老师出来
21.高中教室|内|日,doc_20_chunk_0,王老师站在讲台上，手里拿着一个叠成心形的信纸,教室：夏洛进门
21.高中教室|内|日,doc_20_chunk_0,王老师玩味的看着夏洛,教室：夏洛环顾四周
47.老师办公室|内|日,doc_46_chunk_0,王老师来回踱步,老师办公室，罚站期间
47.老师办公室|内|日,doc_46_chunk_0,王老师气哄哄盯着夏洛。,老师办公室，罚站期间
55.学校教室|内|日,doc_52_chunk_1,镜头前架上眼镜，擦眼镜，有口水等动作。,
16.豪华酒店|内|日,doc_15_chunk_0,王老师出现在大家面前,
16.豪华酒店|内|日,doc_15_chunk_0,老师主观镜头扫一圈，看见和尚和孟特,
76.王老师家|内|夜,doc_74_chunk_0,王老师一家人坐在电视机前吃饺子,
21.高中教室|内|日,doc_20_chunk_1,王老师走向夏洛。,教室
21.高中教室|内|日,doc_20_chunk_1,掐住夏洛,教室
21.高中教室|内|日,doc_20_chunk_2,王老师拿出情书摆在夏洛手上。,
21.高中教室|内|日,doc_20_chunk_2,（上脚踹大春）,
21.高中教室|内|日,doc_20_chunk_2,（回到夏洛旁边）,
21.高中教室|内|日,doc_20_chunk_2,王老师抓起书本狠狠抽向夏洛。,
21.高中教室|内|日,doc_20_chunk_3,回头大喊,张扬踹王老师后
