doc_title,chunk_id,text,scene_context
1、EXT. A STATION,doc_0_chunk_5,I guess we'd better try somebody else.,
1、EXT. A STATION,doc_0_chunk_4,Deeds! Who do you think I'm talking about?,
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_11,We'll let the courts decide what her legal position is.,
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_9,"I thought I told you to take up this matter with me, Hallor.",
2、INT. LONGFELLOW'S LIVING ROOM,doc_1_chunk_11,"Well, he passed on. He was killed in a motor accident in Italy.",
3、INT. AN ALCOVE,doc_2_chunk_5,You're going to New York with us.,
18、INT. LONGFELLOW'S BEDROOM,doc_17_chunk_5,"If there's any talk of settlement, Hallor, take it up with me at the office.",
1、EXT. A STATION,doc_0_chunk_2,Good morning.,Scene at a small brick ticket and freight office; Cedar speaks to the rail agent upon approaching the building.
2、INT. LONGFELLOW'S LIVING ROOM,doc_1_chunk_0,Is Mr. Deeds in?,"Scene: At Mrs. Meredith's door, Cedar asks about Mr. Deeds' whereabouts."
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_13,Don't make any rash promises,"Scene context not fully identifiable; CEDAR speaks as tailors are exiting, possibly in a fitting or dressing area."
2、INT. LONGFELLOW'S LIVING ROOM,doc_1_chunk_10,Are your parents living?,
2、INT. LONGFELLOW'S LIVING ROOM,doc_1_chunk_10,"Mr. Deeds, does the name of Martin W. Semple mean anything to you?",
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_6,"I think you ought to give this matter
some thought, Mr. Deeds.",
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_6,"I mean, about the Power of Attorney.",
18、INT. LONGFELLOW'S BEDROOM,doc_17_chunk_8,"I can't hold out any longer either,
Mr. Deeds.
Being an attorney for you will be a
very simple affair.","Scene: Cedar speaks to Mr. Deeds, expressing his decision to no longer resist and offering to serve as his attorney."
4、EXT. STATION,doc_3_chunk_2,What?,"Scene: Train approach; Cedar is with Cobb, who points at something, prompting Cedar's question."
3、INT. AN ALCOVE,doc_2_chunk_4,"Saving a lady in distress, eh? Well, I suppose we all have dreams like that when we are young.",
3、INT. AN ALCOVE,doc_2_chunk_4,"Incidentally, we'd better get started.",
2、INT. LONGFELLOW'S LIVING ROOM,doc_1_chunk_12,"I have good news for you, sir. Mr. Semple left a large fortune when he died. He left it all to you, Mr. Deeds. Deducting the taxes, it amounts to something in the neighborhood of $20,000,000.",
1、EXT. A STATION,doc_0_chunk_3,"my friend, do you know a fellow by the name of Longfellow Deeds?",
1、EXT. A STATION,doc_0_chunk_3,Yes.,
1、EXT. A STATION,doc_0_chunk_3,We'd like to get in touch with him. It's very important.,
36、INT. CEDAR'S PRIVATE OFFICE,doc_35_chunk_3,I'm so sorry to have kept you waiting.,"Scene: MED. CLOSE SHOT - CEDAR AND THE SEMPLES; John Cedar speaks to Mr. and Mrs. Semple upon their arrival, cutting off Mrs. Semple."
36、INT. CEDAR'S PRIVATE OFFICE,doc_35_chunk_2,Relatives of old man Semple.,
36、INT. CEDAR'S PRIVATE OFFICE,doc_35_chunk_2,Nuisance value?,
36、INT. CEDAR'S PRIVATE OFFICE,doc_35_chunk_2,Nuisance value.,
6、INT. TRAIN DRAWING ROOM,doc_5_chunk_1,No?,"Scene 349: In a conversation with Longfellow, who has expressed concern about finding another tuba player for the band."
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_1,"It's merely a suggestion. I don't wish to press the point, Mr. Deeds, but if you'll give me your Power of Attorney we'll take care of everything. It'll save you a lot of petty annoyances. Every shark in town will be trying to sell you something.","Scene: In an office or meeting room, John Cedar speaks with Mr. Deeds about legal matters and managing his affairs."
76、INT. COURTROOM,doc_75_chunk_14,"Well, prior to that time - were you",
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_2,"Well, you see, your uncle didn't bother with that sort of thing. He left everything to us. He traveled most of the time, and enjoyed himself. You should do the same thing, Mr. Deeds.",
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_2,Yes. That is to say,
14、INT. LONGFELLOW'S BEDROOM,doc_13_chunk_2,Oh - nothing. No extra charge.,
1、EXT. A STATION,doc_0_chunk_1,Are you sure this is the town he lives in?,"Scene: In Mandrake Falls, John Cedar speaks with Anderson and Cobb about the location of a person they are searching for."
1、EXT. A STATION,doc_0_chunk_1,"Well, I dropped everything at the office - I hope it's not a wild goose chase.","Scene: In Mandrake Falls, John Cedar expresses concern to Anderson and Cobb about the urgency and validity of their trip."
