doc_title,chunk_id,text,scene_context
102、EXT. HANALEI BAY COTTAGE - NIGHT,doc_101_chunk_1,"Yeah, maybe.",
45、INT. KING KITCHEN - DAY,doc_44_chunk_1,I'm pretty sure it's after eleven.,
56、EXT. THORSON HOUSE - DAY,doc_55_chunk_4,Grandpa.,
57、INT. MATT'S CAR - DAY,doc_56_chunk_1,"You suck, Sid.",
46、EXT. KING SWIMMING POOL - DAY,doc_45_chunk_4,Obviously.,"Scene: Hospital room, Alexandra speaks with Matt about her mother's condition."
105、INT. HOSPICE ROOM - CONTINUOUS,doc_104_chunk_6,"It's for the best, Scottie. Look at her. She's not happy like this.",
117、EXT. THE OCEAN - DAY,doc_116_chunk_2,Just say goodbye.,Scene where Scottie is preparing to say goodbye to his mother; Alexandra is speaking to Scottie.
54、EXT. KING SWIMMING POOL - DAY,doc_53_chunk_0,"Dad, this is Sid.","Scene: Driveway, Alexandra introduces Sid to her father Matt."
46、EXT. KING SWIMMING POOL - DAY,doc_45_chunk_2,"What the fuck? Get out of my underwear, you freak.","Scene: On a patio, Alexandra confronts Scottie who is wearing her underwear."
47、INT. LIVING ROOM - DAY,doc_46_chunk_5,I don't know. Some guy.,
47、INT. LIVING ROOM - DAY,doc_46_chunk_5,Dark hair.,
55、EXT. KING HOUSE - DAY,doc_54_chunk_0,He knows everything.,"Scene A59: Outside a car, Alexandra responds to Matt's question about whether someone is aware of their actions."
118、INT. KING HOUSE - NIGHT,doc_117_chunk_0,Can I have some?,"Scene where Scottie and Matt are on a sofa watching television; Alexandra enters, sits next to Matt, and asks for ice cream."
105、INT. HOSPICE ROOM - CONTINUOUS,doc_104_chunk_5,What the fuck was that?,"Scene following Dr. Herman's departure; Alexandra is present with Dr. Johnston and Scottie, reacting to Dr. Herman's behavior."
105、INT. HOSPICE ROOM - CONTINUOUS,doc_104_chunk_7,"Come here, Scottie.","Scene: In a hospital room after a doctor's visit, Alexandra speaks to her sister Scottie following news about their mother's impending death."
117、EXT. THE OCEAN - DAY,doc_116_chunk_0,"Steer straighter, Dad. And a little
faster, okay?","Scene: In a canoe on the water, Alexandra is with Matt, Scottie, and the girls, instructing Matt on steering the canoe."
56、EXT. THORSON HOUSE - DAY,doc_55_chunk_1,"Gramps, are you okay?","Scene: In a room, Alexandra speaks to Scott Thorson (Gramps) while he stares off into space, following a discussion about Elizabeth's advanced directive."
61、EXT. NEARBY STREET - KAHALA - DAY,doc_60_chunk_1,Now we know what he looks like.,
41、EXT. SOCCER FIELD - NIGHT,doc_40_chunk_2,What's happening? Why are you here?,"Scene: Location not specified; Alexandra speaks to Matt, asking about his presence and the situation."
41、EXT. SOCCER FIELD - NIGHT,doc_40_chunk_2,Fuck Mom!,Scene: Location not specified; Alexandra reacts emotionally after hearing Matt's news about her mother.
60、EXT. BRIAN SPEER'S BLOCK - KAHALA - DAY,doc_59_chunk_4,And we're not getting married. Jesus.,Scene or location not specified: Alexandra speaks to Matt about their relationship status.
47、INT. LIVING ROOM - DAY,doc_46_chunk_3,"Brandy and I were on our way to swim in
the Black Point pool, and suddenly I
see Mom and some douchebag walk into a
house. His house, I guess.",
47、INT. LIVING ROOM - DAY,doc_46_chunk_3,"He had his hand on her ass. It was
gross.",
57、INT. MATT'S CAR - DAY,doc_56_chunk_3,Dad?,Scene where Alexandra notices her father's anguish and speaks to him; location not specified.
57、INT. MATT'S CAR - DAY,doc_56_chunk_3,Don't forget -- I know where he lives.,"Scene where Alexandra speaks to her father, Matt, after a moment of tension; location not specified."
46、EXT. KING SWIMMING POOL - DAY,doc_45_chunk_3,"Maybe if you spent more time with her,
she wouldn't act like such a complete
spaz. Get her out of town -- go camp
on Kaua'i. That's what mom did with me
whenever I was losing it.","Scene: In a pool, Alexandra speaks to Matt about his daughter's behavior and suggests a camping trip to Kaua'i as a solution."
56、EXT. THORSON HOUSE - DAY,doc_55_chunk_5,"Hi, Tutu.","Scene: Scott returns with a drink-cart, followed by his wife Alice; Alexandra greets Alice, who has Alzheimer's, while others are present."
56、EXT. THORSON HOUSE - DAY,doc_55_chunk_5,He's my friend.,"Scene: Scott questions Sid's presence; Alexandra identifies Sid as her friend while others, including Alice and Matt, are present."
41、EXT. SOCCER FIELD - NIGHT,doc_40_chunk_1,Dad?,"Scene: Dorm room, Alexandra reacts to her father's arrival while with Emily and Scottie."
41、EXT. SOCCER FIELD - NIGHT,doc_40_chunk_1,My fucking dad is here!,"Scene: Dorm room, Alexandra exclaims to Emily upon seeing her father."
41、EXT. SOCCER FIELD - NIGHT,doc_40_chunk_1,"What's up, Dad?","Scene: Dorm room, Alexandra greets her father upon his arrival."
58、EXT. DIAMOND HEAD ROAD - DAY,doc_57_chunk_0,I haven't surfed in years.,
58、EXT. DIAMOND HEAD ROAD - DAY,doc_57_chunk_0,At first I stopped because I got my period and didn't know how to use a tampon.,
58、EXT. DIAMOND HEAD ROAD - DAY,doc_57_chunk_0,"So I wouldn't go for, you know, five days or so, and then I guess I just stopped.",
45、INT. KING KITCHEN - DAY,doc_44_chunk_3,"I have gotten my act together. I was just drinking. I've been doing really well, but nobody ever seems to notice my grades are better, and how I was in that stupid play you guys didn't bother to see. Do you even remember the name of it?",
45、INT. KING KITCHEN - DAY,doc_44_chunk_3,That's what I thought. So what if I got drunk on the ONE night you happened to drop in? So the fuck what?,
54、EXT. KING SWIMMING POOL - DAY,doc_53_chunk_1,"Sid's coming with us, okay?",Scene: Matt is preparing to leave for his in-laws' house; Alexandra speaks to Matt about bringing Sid along.
