doc_title,chunk_id,text,scene_context
147、INT. MASTER BEDROOM - NIGHT,doc_146_chunk_11,The hell does she want?,"Burnham and Raoul in a room, Meg screaming outside the door."
147、INT. MASTER BEDROOM - NIGHT,doc_146_chunk_5,I just... I just need forty-five,Panic Room: Burnham speaks into speaker while exhausted after pushing past Raoul.
129、INT. KITCHEN - NIGHT,doc_128_chunk_1,You don't know one thing about me!,"Burnham speaks to the corpse in shock, with Raoul present."
147、INT. MASTER BEDROOM - NIGHT,doc_146_chunk_7,"It's gonna be cool, kid. Be outta here before you know it.",Panic Room: Burnham reassures Sarah about being safe and leaving soon.
147、INT. MASTER BEDROOM - NIGHT,doc_146_chunk_7,Are you okay?,Panic Room: Burnham checks on Sarah after her lack of response.
134、INT. MASTER BEDROOM - NIGHT,doc_133_chunk_0,OPEN UP!,"At the door to the room, Burnham demands entry."
122、INT. MASTER BEDROOM - NIGHT,doc_121_chunk_0,Hey.,"Master bedroom doorway, Burnham speaking with Junior about the situation"
122、INT. MASTER BEDROOM - NIGHT,doc_121_chunk_0,Do me a favor and don't talk.,"Master bedroom doorway, Burnham speaking with Junior about the situation"
127、INT. KITCHEN - NIGHT,doc_126_chunk_0,You walk out that door and you lose your share of the money.,Stairway: Burnham warns Junior about losing his share of the money if he leaves the kitchen.
127、INT. KITCHEN - NIGHT,doc_126_chunk_0,I mean it!,Stairway: Burnham emphasizes his warning to Junior about losing his share of the money.
149、INT. PANIC ROOM - NIGHT,doc_148_chunk_2,"You seem like a good kid. Your mom... only saw her for a second, but, woah. Beautiful, huh?","While preparing to draw blood, Burnham speaks to Sarah about her mother."
124、INT. MASTER BEDROOM - NIGHT,doc_123_chunk_1,What about us?,Speaking with Junior about the money offer.
129、INT. KITCHEN - NIGHT,doc_128_chunk_0,"Oh God... oh, my God...",Burnham freaks out before Raoul drags Junior into the house.
129、INT. KITCHEN - NIGHT,doc_128_chunk_0,The fuck did you do that for?!,Burnham confronts Raoul about dragging Junior.
108、INT. MECHANICAL ROOM - NIGHT,doc_107_chunk_0,God damn it!,"Dark room, Burnham frustrated by burned-out bulb"
149、INT. PANIC ROOM - NIGHT,doc_148_chunk_0,Are you gonna open the safe?,Room: Burnham asks Raoul about opening the safe.
131、INT. KITCHEN - NIGHT,doc_130_chunk_3,This is ridiculous...,Speaking to Raoul about the squeezing instruction.
131、INT. KITCHEN - NIGHT,doc_130_chunk_3,I can't just...,Responding to Raoul's instruction to squeeze harder.
131、INT. KITCHEN - NIGHT,doc_130_chunk_3,"Okay, okay! Okay.",Agreeing to Raoul's request after being prompted.
131、INT. KITCHEN - NIGHT,doc_130_chunk_3,"Yeah. Yeah, I got an idea. I gotta check something.",Informing Raoul of an idea and stating he needs to check something.
147、INT. MASTER BEDROOM - NIGHT,doc_146_chunk_16,"Tell me the truth, okay? What's gonna happen if you don't get this?",Asking Sarah about consequences of not getting 'this'
147、INT. MASTER BEDROOM - NIGHT,doc_146_chunk_14,Can you do it yourself?,"Burnham and Sarah with Raoul present, discussing waiting for Sarah's mom."
