doc_title,chunk_id,description,scene_context
136、INT. MIRROR CHAMBER - DAY.,doc_135_chunk_2,Eric watches - despair wrought on his face -- as the knife falls.,
104、EXT. NEAR THE CASTLE GATES - DAY (MOVED FROM,doc_103_chunk_2,"Eric spins, wanders back to see what the commotion is all about.","Castle exit, doors closing, shouts of joy"
107、EXT. SAND DUNES OVERLOOKING RAVENNA'S CASTLE - DAWN.,doc_106_chunk_0,Eric and William ride nearby.,Army gathering on a hill
105、INT. GENERAL'S TENT - NIGHT.,doc_104_chunk_12,Eric rides up next to her.,Scene 177b: EXT. CASTLE - NIGHT
105、INT. GENERAL'S TENT - NIGHT.,doc_104_chunk_12,"He turns his horse to full back, but before he leaves...",Scene 177b: EXT. CASTLE - NIGHT
137、INT. THRONE ROOM - SAME - DAY.,doc_136_chunk_0,Eric grabs a sword on the ground and slices the Faerie in front of him... the Faerie shatters.,"William being attacked, Faeries slowed"
105、INT. GENERAL'S TENT - NIGHT.,doc_104_chunk_8,Eric and the dwarves couldn't look prouder.,After Snow White's speech to the people and generals
135、INT. THRONE ROOM - SAME - DAY.,doc_134_chunk_2,He kneels down,
137、INT. THRONE ROOM - SAME - DAY.,doc_136_chunk_1,"Eric throws his sword and blows the other Dark Faerie in pieces, releasing William.",
132、INT. THRONE ROOM - DAY.,doc_131_chunk_3,Eric tries to step away from them... to no avail.,Surrounded by fast-moving creatures in a battle
132、INT. THRONE ROOM - DAY.,doc_131_chunk_9,He rams a Faerie into a pillar.,Scene 209c: Throne room
105、INT. GENERAL'S TENT - NIGHT.,doc_104_chunk_9,"His eyes fixed on Snow White, Eric bows too.",Warriors kneeling before Snow White.
135、INT. THRONE ROOM - SAME - DAY.,doc_134_chunk_0,Eric sees him and goes for it too.,"Mirror room, shards obstructing entry, William running"
46、EXT. VILLAGE - DAY.,doc_45_chunk_0,Eric flies through the Inn's wall and lands in a heap on the ground.,"Inn, during the gathering for the Dark Forest mission"
132、INT. THRONE ROOM - DAY.,doc_131_chunk_5,Eric looks back as he fights off a Dark Faerie with his two shields.,During a fight with a Dark Faerie
132、INT. THRONE ROOM - DAY.,doc_131_chunk_5,He knows he does not have much time left but he is ready to make the final sacrifice.,During a fight with a Dark Faerie
103、INT. GENERAL'S TENT - COURTYARD - NIGHT.,doc_102_chunk_3,Eric reaches down and gently brushes a strand of hair off her face.,Scene 163a: Chamber with Snow White on a bier
103、INT. GENERAL'S TENT - COURTYARD - NIGHT.,doc_102_chunk_3,He leans down and kisses her lips.,Scene 163a: Chamber with Snow White on a bier
103、INT. GENERAL'S TENT - COURTYARD - NIGHT.,doc_102_chunk_3,"He finally turns and leaves the chamber, tossing the flask aside, disgusted with himself.",Scene 163a: Chamber with Snow White on a bier
138、INT. MIRROR CHAMBER - DAY.,doc_137_chunk_1,"Eric and William, exhausted and battered climb the steps of the mirror chamber.","mirror chamber, Eric and William climb steps after the battle"
21、EXT. FOREST - DAY.,doc_20_chunk_1,"Trying to clear his vision and steady his aim, Eric hurls the hatchet -- and MISSES, the blade sticking in the tree above the frightened Greta's head",
