doc_title,chunk_id,fact,scene_context
17、EXT. MIKE'S HOUSE/BACKYARD - DAY,doc_16_chunk_3,The target character is a landscape designer.,"Scene: In the yard, during a conversation with Mike."
49、EXT. MIKE'S HOUSE/BACKYARD - NIGHT,doc_48_chunk_1,Scarlet explicitly identifies 'Scar' as a nickname used only by her husband.,
80、EXT. MIKE'S HOUSE/BACKYARD - NIGHT,doc_79_chunk_0,Scarlet Porter has a date that she almost forgets about.,Scene immediately following the outdoor moment with Mike; Scarlet remembers her date after being complimented on her talent.
114、INT. MIKE'S HOUSE/KITCHEN - DUSK,doc_113_chunk_0,Scarlet accesses the website 'Scarlet's Sanctuaries' by clicking on a link in an email.,"Scene: At the kitchen table, after reading an email from Mark Freeman."
114、INT. MIKE'S HOUSE/KITCHEN - DUSK,doc_113_chunk_0,Scarlet reads an email sent by Mark Freeman.,"Scene: At the kitchen table, while working on her laptop."
79、INT. MIKE'S HOUSE/KITCHEN - NIGHT,doc_78_chunk_2,Scarlet successfully installed thousands of tiny white lights in her OASIS.,Scene: Scarlet reveals the illuminated OASIS to Mike and Alex by turning on the lights.
79、INT. MIKE'S HOUSE/KITCHEN - NIGHT,doc_78_chunk_2,Scarlet prioritized Mike and Alex as the first people to witness the illuminated OASIS.,Scene: Scarlet reveals the illuminated OASIS to Mike and Alex by turning on the lights.
98、EXT. ED'S HOUSE/POOL - NIGHT,doc_97_chunk_0,Scarlet is actively searching for Alex because he is past his curfew and not answering his phone.,Scene near the pool party: Scarlet arrives looking for Alex and expresses concern about his absence and unresponsiveness.
98、EXT. ED'S HOUSE/POOL - NIGHT,doc_97_chunk_0,Scarlet gains information that Alex is with his girlfriend and is fine.,"Scene near the pool party: Mike informs Scarlet that Alex is present at the party with his girlfriend, which she did not previously know."
108、INT. LOS ANGELES COURT HOUSE/COURTROOM - DAY,doc_107_chunk_0,Scarlet Porter is formally sworn in under oath in a court proceeding.,"Scene: Courtroom, during a divorce hearing."
108、INT. LOS ANGELES COURT HOUSE/COURTROOM - DAY,doc_107_chunk_0,Scarlet Porter requests a divorce from Michael O'Donnell citing irreconcilable differences under the laws of the State of California.,"Scene: Courtroom, during a divorce hearing."
108、INT. LOS ANGELES COURT HOUSE/COURTROOM - DAY,doc_107_chunk_0,Scarlet Porter confirms to the court that she is not seeking alimony or child support.,"Scene: Courtroom, during a divorce hearing."
