doc_title,chunk_id,text,scene_context
58 大桥	外	夜,doc_58_chunk_0,我今晚离开天津，让我推会儿,在天津，与脚行小弟对话，请求推车并表示今晚离开。
26 茶汤摊	外	日,doc_25_chunk_0,不敢，不敢,赵国卉在耿良辰摊位前夸奖后耿良辰回应
29 陈识家	内	日,doc_28_chunk_0,知道，师父看得起徒弟，才让进屋，师父你受伤啦,卧室：耿良辰回应进屋原因并提及师父受伤。
25 陈识家	内	夜,doc_24_chunk_0,师父,房间内，师娘睡着，耿良辰喊师父。
25 陈识家	内	夜,doc_24_chunk_0,我大胜！懒得陪他们，给师父师娘带了螃蟹,院内，耿良辰向陈识报告踢馆胜利。
25 陈识家	内	夜,doc_24_chunk_0,明白了，我中意上一位姑娘，跟您一样漂亮,院内，三人吃螃蟹时，耿良辰对赵国卉表达中意。
34 某武馆	外	日,doc_33_chunk_0,知道了,比试前巷道，陈识嘱咐耿良辰
34 某武馆	外	日,doc_33_chunk_0,说过了,耿良辰转身去武馆，陈识说'耸了就败了'
34 某武馆	外	日,doc_33_chunk_0,师父,陈识偷袭时，耿良辰阻击
57 街道	外	夜,doc_57_chunk_0,不吓唬她了,书摊：耿良辰对茶汤女说不吓唬她了。
28 某武馆	内	日,doc_27_chunk_0,你不穿？,武厅：比试准备中，耿良辰与旗袍女子对话
28 某武馆	内	日,doc_27_chunk_0,用脚啊！？,武厅：双刀比试中，耿良辰喊女子用脚攻击
1 某咖啡店	内	日,doc_0_chunk_0,比武的秘诀是，头不躲，人的头快不过人的手，（迅速捏住对方的手腕）腕子细，脖子粗，你说手转得快还是头转得快,咖啡馆：与光头中年讨论比武。
1 某咖啡店	内	日,doc_0_chunk_0,再来！,咖啡馆：与光头中年要求再比。
1 某咖啡店	内	日,doc_0_chunk_0,练拳的坐一块，不就是聊聊拳么,咖啡馆：与邹馆长讨论练拳。
1 某咖啡店	内	日,doc_0_chunk_0,这块儿，你料理,咖啡馆：与邹馆长处理晕倒随从。
37 街道	外	日,doc_36_chunk_0,天津街头不能见铁器，车夫打架，都在车底下藏根棍子，我是踢了七家武馆的耿良辰，你去拿吧,摊位：耿良辰与车夫段锐比试后讨论车夫打架规则。
37 街道	外	日,doc_36_chunk_0,他是个坏人，他腿那么白，他不是车夫,摊位：茶汤女生气后，耿良辰解释车夫身份。
37 街道	外	日,doc_36_chunk_0,街面上分分秒秒都有欺负人的事，今天我就欺负人了，怎么了,摊位：茶汤女指责后，耿良辰辩解欺负人。
38 邹馆	内	日,doc_37_chunk_0,我认识你？,武馆内，耿良辰刚进入，邹馆长在楼上
38 邹馆	内	日,doc_37_chunk_0,与其遭人暗算，不如我自己打上门,武馆内，耿良辰面对拿刀围上来的手下
38 邹馆	内	日,doc_37_chunk_0,我踢馆,武馆内，耿良辰回应邹馆长的询问
38 邹馆	内	日,doc_37_chunk_0,只对你破例，喝咖啡,武馆内，耿良辰与邹馆长讨论踢馆后约定
36 仓房	内	日,doc_35_chunk_0,师娘,仓房：耿良辰与赵国卉初次对话
36 仓房	内	日,doc_35_chunk_0,漂亮女人，谁都想看,仓房：床边，耿良辰与赵国卉对话
36 仓房	内	日,doc_35_chunk_0,您对我来说，早就不是漂亮女人那回事了，,仓房：耿良辰递水给赵国卉
36 仓房	内	日,doc_35_chunk_0,您别瞎想，比武是有公证人的，赢家不受报复,仓房：赵国卉起身离开时
46 街道	外	日,doc_45_chunk_0,有,街边，茶汤女询问《蜀山剑侠传》新册，耿良辰回应。
46 街道	外	日,doc_45_chunk_0,匀他会儿，不收你钱了,街边，耿良辰向男子要求匀书给军爷。
18 街道	外	日,doc_17_chunk_0,师父让我改行的，练了拳，不能再干体力活，一累着，白练了,在街面上，与东家讨论退出脚行
18 街道	外	日,doc_17_chunk_0,东家要的退行费太高,在街面上，与东家讨论退出脚行
18 街道	外	日,doc_17_chunk_0,拿车，打死我！,在街面上，与东家讨论退出脚行
