doc_title,chunk_id,fact,scene_context
22 街道	外	夜,doc_21_chunk_0,赵国卉的手包被小孩抢走。,街道
31 陈识家	内	日,doc_30_chunk_0,赵国卉是陈识的伴侣。,
26 茶汤摊	外	日,doc_25_chunk_0,小黄狗跟着赵国卉。,
76 街头	外	日,doc_76_chunk_0,赵国卉与陈识在茶馆错过。,茶馆
76 街头	外	日,doc_76_chunk_0,赵国卉将箱子绑在自己的手上。,街道
71 面包店	内	日,doc_71_chunk_0,赵国卉心爱的照片被摆放在桌上的牛角包边。,
84 火车站	外	日,doc_84_chunk_0,赵国卉在售票处买票,车站
79 街道	外	日,doc_79_chunk_0,赵国卉成功追上陈识。,大街上，陈识行走时赵国卉追上。
36 仓房	内	日,doc_35_chunk_0,赵国卉的喉咙被刀抵住,仓房
14 陈识家	外	日,doc_13_chunk_0,赵国卉知道陈识已经返回。,院中，陈识回家
14 陈识家	外	日,doc_13_chunk_0,赵国卉接受成为耿良辰的师娘。,吃螃蟹场景，耿良辰跪拜后
