doc_title,chunk_id,fact,scene_context
16、EXT. SHADED CREEK - LATER,doc_15_chunk_5,Grant is struck by a spore that emerges from the organism.,
16、EXT. SHADED CREEK - LATER,doc_15_chunk_5,The spore enters Grant's body through a wound on his abdomen.,
127、EXT. ROAD TOWARD WHEELSY - MOMENTS LATER,doc_126_chunk_3,Grant becomes aware of Starla's swollen lip and asks her how it happened.,
127、EXT. ROAD TOWARD WHEELSY - MOMENTS LATER,doc_126_chunk_3,Grant reacts with fury after hearing Starla's story about her swollen lip.,
43、EXT. SADDLE LODGE PLAYGROUND - NIGHT,doc_42_chunk_0,Grant receives information that Brenda's partner has taken the children to his mother's for the weekend.,"Scene: Grant encounters Brenda, who reveals her partner is away with the children."
44、EXT. FOREST - NIGHT,doc_43_chunk_4,Grant remains conscious after Brenda becomes unconscious.,
44、EXT. FOREST - NIGHT,doc_43_chunk_4,A tubule retracts into Grant's torso.,
84、EXT. STRUTEMYER RANCH - NIGHT,doc_83_chunk_4,Grant kills the Good Ol' Boy by splitting his body in half with a tentacle-arm.,
16、EXT. SHADED CREEK - LATER,doc_15_chunk_6,Grant's body is infected by a spore that travels through his system and integrates into the base of his cerebellum.,
16、EXT. SHADED CREEK - LATER,doc_15_chunk_6,Grant's brain exhibits a surge of white electrical energy following the spore's integration.,
29、INT. GRANT GARAGE - MOMENTS LATER,doc_28_chunk_1,Grant successfully captures the rat.,
29、INT. GRANT GARAGE - MOMENTS LATER,doc_28_chunk_1,Grant kills the rat by snapping its neck.,
29、INT. GRANT GARAGE - MOMENTS LATER,doc_28_chunk_1,Grant discards the dead rat onto the pile of meat.,
165、INT. GRANT BEDROOM - NIGHT,doc_164_chunk_0,Grant is blinded by having a metal spike jabbed into both eyes.,Scene where Starla attacks Grant with a metal spike.
165、INT. GRANT BEDROOM - NIGHT,doc_164_chunk_0,Grant is stabbed in the forehead with a metal spike that remains embedded.,Scene where Starla attacks Grant with a metal spike.
92、INT. OLD BARN - NIGHT,doc_91_chunk_1,Grant is observed peering in through a window at Brenda and Bill.,
92、INT. OLD BARN - NIGHT,doc_91_chunk_1,Grant is smiling while observing Brenda and Bill.,
64、INT. GRANT FAMILY ROOM - NIGHT,doc_63_chunk_1,Grant has an enormous yellow spore growing on his chest.,
