doc_title,chunk_id,description,scene_context
46、大奔汽车内，夜，内,doc_45_chunk_0,麦克拉上拉链，戴上夜行衣的蒙面头罩。,
27、西餐厅，日，内,doc_26_chunk_0,麦克一把将车钥匙接住，举起酒杯。,
104、通风管道内，日，内,doc_103_chunk_0,麦克惊醒，继续挣扎,
140、文庙展厅/通风管道，夜，内,doc_139_chunk_0,麦克透过管道排风叶片，看着包世宏和三宝离去，然后用手表链一点点磨掉管道大螺丝帽上的铁锈，再咬着牙试着用手拧螺丝帽。,
23、理发店，日，内,doc_22_chunk_0,刀在麦克手里熟练的旋转着,
23、理发店，日，内,doc_22_chunk_0,麦克挥刀把四眼手里的烟头砍掉,
23、理发店，日，内,doc_22_chunk_0,麦克一丝不苟地工作,
23、理发店，日，内,doc_22_chunk_1,麦克整理一下四眼的头型，示意头发剪好。,
23、理发店，日，内,doc_22_chunk_1,麦克擦拭着自己的工具。,
23、理发店，日，内,doc_22_chunk_1,麦克一笑，掷出手中的剃刀。剃刀稳准狠地钉在墙壁的标盘上。,
69、文庙外，日，外,doc_68_chunk_0,麦克端着一杯方便面走到车前。,文庙外的街道
47、文庙后墙，夜，外,doc_46_chunk_0,麦克贴到展厅后墙边。,展厅内
47、文庙后墙，夜，外,doc_46_chunk_0,麦克躲在一个障碍物后，让过车灯，趁机溜到展厅另一边。,展厅内
35、大奔汽车里，日，内,doc_34_chunk_0,嚼着口香糖,
35、大奔汽车里，日，内,doc_34_chunk_0,坐进汽车里,
35、大奔汽车里，日，内,doc_34_chunk_0,关上车门,
35、大奔汽车里，日，内,doc_34_chunk_0,连接了一些线路,
35、大奔汽车里，日，内,doc_34_chunk_0,打开一个笔记本电脑,
147、文庙附近街道/汽车旁，日，外,doc_146_chunk_0,麦克打着手机电话，脚步踉跄地走向街边。,
147、文庙附近街道/汽车旁，日，外,doc_146_chunk_0,麦克举着手机电话，愕然发现车已不见。,
147、文庙附近街道/汽车旁，日，外,doc_146_chunk_0,麦克和黑皮愕然对视着彼此的夜行衣装束，互相打量着。,
150、冯董办公室，日，内,doc_149_chunk_1,麦克打扮成擦玻璃工人的模样，站在升降车上，他朝冯董的办公室望了望，见里面没人，拿出特制玻璃刀，在厚厚的玻璃上划了一个圆，然后从包里找出吸盘，吸在玻璃上，一用劲，玻璃被取下。,冯董的办公室外
145、文庙后墙外 日 外,doc_144_chunk_0,麦克顺着墙根走,
145、文庙后墙外 日 外,doc_144_chunk_0,拨着电话,
145、文庙后墙外 日 外,doc_144_chunk_0,看见拖车拖着一辆大本,
152、电梯内，日，内,doc_151_chunk_0,麦克一见包世宏有些心虚,电梯内，包世宏挤开电梯门后与麦克对峙
152、电梯内，日，内,doc_151_chunk_0,麦克突然手中多出一把剔刀，砍向包世宏,电梯内，包世宏发现麦克手滴血后
153、电梯外，日，内,doc_152_chunk_0,麦克一脸白石灰和包世宏正用一种奇怪的姿势扭在一起。,大厅门前，电梯门打开，形势危机。
142、通风口，日，内,doc_141_chunk_0,虚弱的麦克拧下最后一颗螺丝，将管道打开，满手已经鲜血淋漓。,展厅
142、通风口，日，内,doc_141_chunk_0,他慢慢爬了出来，挣扎着爬到管道口，看见展厅里人头攒动。,展厅
25、机场外，日，外,doc_24_chunk_0,麦克一身酷装，戴着黑墨镜，拎着一个黑色旅行箱出现在机场的人流里，显得很扎眼。,机场
25、机场外，日，外,doc_24_chunk_0,他来到路边一摘墨镜，准备伸手拦车。,机场路边
25、机场外，日，外,doc_24_chunk_0,麦克睁开眼，揉揉眼睛回头看看，身后早已没人，他有些莫名其妙，再看自己的包，也没了。,机场
25、机场外，日，外,doc_24_chunk_0,麦克再回头，只见茫茫人海。,机场
151、周办外的走道，日，内,doc_150_chunk_0,压低帽子，戴着蛤蟆镜，嘴上贴了个小胡子，手臂上搭着黑色风衣，若无其事地从办公人员身边走过。,前台
151、周办外的走道，日，内,doc_150_chunk_0,从包世宏面前走过,前台
60、歌厅/街角，夜，内,doc_59_chunk_0,麦克一边懊恼地扯下面罩，一边接听电话,沙发上，四眼打电话时
60、歌厅/街角，夜，内,doc_59_chunk_0,麦克挂了电话，气愤的扔到旁边的车座上，然后注视着道哥爬进搬家车内发动离去。,车座旁，挂电话后注视道哥
150、冯董办公室，日，内,doc_149_chunk_2,迈进办公室,办公室内
150、冯董办公室，日，内,doc_149_chunk_2,奔到保险柜前,办公室内
150、冯董办公室，日，内,doc_149_chunk_2,掏出解锁器,办公室内
150、冯董办公室，日，内,doc_149_chunk_2,从保险柜里取出石头,办公室内
150、冯董办公室，日，内,doc_149_chunk_2,脸上微微一笑,办公室内
150、冯董办公室，日，内,doc_149_chunk_2,缓缓转身,办公室内
150、冯董办公室，日，内,doc_149_chunk_2,刀悄悄地滑落在手掌里,办公室内
150、冯董办公室，日，内,doc_149_chunk_2,挥出手中的刀子,办公室内
150、冯董办公室，日，内,doc_149_chunk_3,麦克坐在老板椅上,
150、冯董办公室，日，内,doc_149_chunk_3,拔下箭,
150、冯董办公室，日，内,doc_149_chunk_3,麦克沉默片刻,
150、冯董办公室，日，内,doc_149_chunk_3,从口袋里拿出一张皱巴巴的名片,
150、冯董办公室，日，内,doc_149_chunk_3,拿出手机拨打电话,
150、冯董办公室，日，内,doc_149_chunk_3,麦克警觉地挂断手机,
150、冯董办公室，日，内,doc_149_chunk_3,麦克又拨打手机,
150、冯董办公室，日，内,doc_149_chunk_3,麦克有些奇怪，慢慢走到桌前,
150、冯董办公室，日，内,doc_149_chunk_3,接起电话,
150、冯董办公室，日，内,doc_149_chunk_3,麦克似乎明白什么,
150、冯董办公室，日，内,doc_149_chunk_3,麦克将手机和电话都拿到耳边,
150、冯董办公室，日，内,doc_149_chunk_3,一副欲哭无泪的表情,
32、文庙外售票窗前，日，外,doc_31_chunk_0,麦克将一张钞票递进窗口，冲里面伸出一根手指头,售票窗前
32、文庙外售票窗前，日，外,doc_31_chunk_0,麦克眼睛四处张望,售票窗前
32、文庙外售票窗前，日，外,doc_31_chunk_0,麦克反感的看了黑皮一眼,售票窗前
32、文庙外售票窗前，日，外,doc_31_chunk_0,麦克接过，转身离去,售票窗前
99、文庙展厅，夜，内,doc_98_chunk_0,麦克拴着一根绳索从房梁上滑了下来。,翡翠展柜上方
99、文庙展厅，夜，内,doc_98_chunk_0,麦克继续下滑，来到翡翠展柜上方，悬在半空中麻利的用万能钥匙打开柜门，准备拿翡翠时，却发现绳索已到头不够长，差一尺才够得着翡翠。,翡翠展柜上方
100、管道内，夜，内,doc_99_chunk_0,麦克头昏眼花地爬行着，来到一个岔口，他想了想，最后向左边的通风口爬去。,剖面通风管
100、管道内，夜，内,doc_99_chunk_0,麦克满头被搞得都是灰，他将脑袋先伸了过去，然后慢慢让肩膀也挤了过去……,剖面通风管
100、管道内，夜，内,doc_99_chunk_0,麦克的胸部挤在管道口，却再怎么样也过不去了，于是他试图返回，但是却怎么样也回不去，于是就这样被卡在管道口，麦克感到不妙。,剖面通风管
