doc_title,chunk_id,description,scene_context
棠家客厅，日，内	 棠余月影抹着手霜，一旁，棠宁在画画。,doc_40_chunk_0,棠余月影打开一盒衣服。,
棠家客厅，日，内	 棠余月影抹着手霜，一旁，棠宁在画画。,doc_40_chunk_0,棠余月影招呼棠宁过来。,
警局门口，日，外,doc_27_chunk_0,棠余月影快步走进警局大门。,警局门口，记者聚集。
棠家后庭院房子，日，内,doc_32_chunk_0,棠余月影看向眼前的棠宁。,
棠家后庭院房子，日，内,doc_32_chunk_0,棠余月影牵着棠真的手走出去。,
庄园厅堂，日，内,doc_10_chunk_0,翘首看着外面,
庄园亭子，日，外,doc_13_chunk_1,棠余月影有些语塞，硬挤着笑容。,场景5：王夫人质疑挡灾说法。
医院病房，日，内,doc_102_chunk_0,"老年的棠余月影躺在病床上，此时的她满头白发，面容憔悴，插着氧气管,她的生命即将走到尽头。",
警局楼梯间，日，内,doc_28_chunk_0,棠余月影、棠真走向楼梯，要上二楼。,
棠家后院，日，外,doc_33_chunk_0,棠余月影牵着棠真走在小道上。,小道上
医院病房，日，内,doc_34_chunk_0,棠余月影看着病房内。,病房门口，林翩翩昏迷中
会客室，夜，内,doc_31_chunk_0,棠余月影端着一碗汤递给署长。,桌前，喝酒吃菜聊天
服装店，日，内,doc_36_chunk_0,棠余月影陪着县长夫人试衣服,奢华的服装店
服装店，日，内,doc_36_chunk_0,棠余月影不知在想着什么,奢华的服装店
棠家客厅，日，内,doc_50_chunk_0,棠余月影坐在客厅里看着电视机。,场景18：客厅
棠家客厅，日，内,doc_50_chunk_0,棠余月影的脸色很凝重。,场景18：客厅
棠家客厅，日，内	 棠余月影抹着手霜，一旁，棠宁在画画。,doc_40_chunk_2,棠余月影收拾整理着衣服。,
棠家客厅，日，内	 棠余月影抹着手霜，一旁，棠宁在画画。,doc_40_chunk_2,棠余月影拿过衣服。,
棠家客厅，日，内	 棠余月影抹着手霜，一旁，棠宁在画画。,doc_40_chunk_2,棠余月影拿着衣服在棠宁身上比划着。,
棠家客厅，日，内	 棠余月影抹着手霜，一旁，棠宁在画画。,doc_40_chunk_2,棠余月影指着棠宁，冷下脸来。,
庄园亭子，日，外,doc_13_chunk_0,棠余月影推着那个盒子放在王夫人身前，盒子上缠着布料。,亭子里的桌前
庄园亭子，日，外,doc_13_chunk_0,棠余月影抽开盒子，露出一个佛像来，但佛像的手掉了。,亭子里的桌前
【棠宁的回忆】棠家会客室，夜，内,doc_54_chunk_0,棠余月影拍案而起。,记者家逵被质问的现场
庄园亭子，夜，内,doc_18_chunk_0,棠余月影给王夫人夹菜。,场景7：亭中聚餐
墓地、日、外,doc_37_chunk_0,棠余月影走在墓地的道路上。,墓地的道路上
棠家后院画房，夜，内,doc_48_chunk_0,棠余月影走来。,画房外
庄园亭子，日，外,doc_13_chunk_2,棠余月影的脸上挤着笑容。,画展会场
庄园走廊/亭子，日，外,doc_12_chunk_0,棠余月影搀扶着她,走廊
【回忆】医院病房，日，内,doc_103_chunk_0,棠余月影看着这一切。,场景31：门外，林翩翩死去。
【回忆】医院病房，日，内,doc_103_chunk_0,棠余月影看向病房内。,场景31：病房外，林翩翩死去。
警局会议室，日，内,doc_29_chunk_0,棠余月影坐在沙发上。,场景11：会议室，棠余月影进入后坐下。
高尔夫球场，日，外,doc_23_chunk_0,棠余月影与众人碰杯,树木旁的阴凉处，围坐喝红酒聊天
高尔夫球场，日，外,doc_23_chunk_0,棠余月影在倒着红酒,树木旁的阴凉处，围坐喝红酒聊天
棠家房子走廊/客厅，夜，内	、,doc_64_chunk_1,棠余月影要走,场景22
棠家房子走廊/客厅，夜，内	、,doc_64_chunk_1,棠余月影推着棠宁倒地,场景22
棠家客厅，日，内,doc_84_chunk_0,棠余月影坐在客厅里打着电话。,客厅内，打电话
棠家客厅，日，内,doc_91_chunk_0,棠余月影的眼眶里充满泪水，念着往生咒。,
服装店，日，内,doc_36_chunk_1,棠余月影的表情有些凝重，她在想着什么。,
服装店，日，内,doc_36_chunk_1,棠余月影走在墓地的道路上。,墓地的道路上
棠家客厅，日，内	 棠余月影抹着手霜，一旁，棠宁在画画。,doc_40_chunk_1,棠余月影笑着,场景15：家中，与棠宁交谈。
棠家客厅，日，内	 棠余月影抹着手霜，一旁，棠宁在画画。,doc_40_chunk_1,棠余月影拍拍大腿,场景15：家中，与棠宁交谈。
