doc_title,chunk_id,description,scene_context
89外景/内景  武装部院落/接待室  日,doc_102_chunk_1,谷子地一直扭头看着屋里，不动声色地听着，兴趣越来越浓。,
89外景/内景  武装部院落/接待室  日,doc_102_chunk_2,谷子地聚精会神地倾听,
100内景  卫生队走廊/病房  晨,doc_113_chunk_3,谷子地神色黯然。,病房
106外景  烈士陵园大门/墓道  日,doc_119_chunk_1,众人簇拥着谷子地沿着漫长的台阶往上走。,
104外景  瞭望台  日  秋天,doc_117_chunk_2,谷子地扒住栏杆，在林海中搜寻，因为看不清也听不清而焦躁。,林海中，台子上
100内景  卫生队走廊/病房  晨,doc_113_chunk_5,谷子地在赵二斗的腰眼子上捅了一下，见他没反应，又捅了一下，对方终于生硬地笑了几声。,
100内景  卫生队走廊/病房  晨,doc_113_chunk_5,谷子地却控制不住地嗤嗤笑起来,
92外景  烈士陵园  日,doc_105_chunk_0,谷子地蹲在墓地中心的水池边洗脸。,墓地中心水池边，孙桂琴诉说
92外景  烈士陵园  日,doc_105_chunk_0,谷子地沉默良久。,孙桂琴询问金存牺牲后
96内景  同上  夜,doc_109_chunk_0,谷子地不在。,车厢内，孙桂琴发现谷子地不在
100内景  卫生队走廊/病房  晨,doc_113_chunk_0,谷子地摸索着打开大门走进来，挨着赵二斗轻轻坐下，还是把对方惊醒了。,病房门口，走廊
99外景  边防团驻地大门  黄昏  雨后,doc_112_chunk_0,谷子地和孙桂琴沿着坡道往上走。,驻地山腰，大门外坡道
99外景  边防团驻地大门  黄昏  雨后,doc_112_chunk_0,谷子地却乐不可支。,驻地山腰，大门外坡道
95内景  同上  日,doc_108_chunk_0,谷子地端着水走来,列车车厢内
95内景  同上  日,doc_108_chunk_0,吃力地挤过人群,列车车厢内
107外景  碑林  日,doc_120_chunk_1,谷子地在众人的注视之下，把白酒一口一口地浇在墓座周围的草地上。,墓地
106外景  烈士陵园大门/墓道  日,doc_119_chunk_2,谷子地看不清这个人是谁。,墓道十字路口
106外景  烈士陵园大门/墓道  日,doc_119_chunk_2,谷子地无意中触到了对方的空袖筒。,墓道十字路口
100内景  卫生队走廊/病房  晨,doc_113_chunk_2,谷子地笑,
100内景  卫生队走廊/病房  晨,doc_113_chunk_2,谷子地后脑勺贴着墙，看着对面墙壁上的战场救护知识挂图。,
89外景/内景  武装部院落/接待室  日,doc_102_chunk_3,谷子地打开枪膛，把右眼凑到距离只有两寸的地方仔细观看。,接待室
89外景/内景  武装部院落/接待室  日,doc_102_chunk_3,他熟练地摆弄着，扣上枪栓。,接待室
89外景/内景  武装部院落/接待室  日,doc_102_chunk_3,谷子地发现女人离开接待室，从枪口前走过。,接待室
92外景  烈士陵园  日,doc_105_chunk_1,啃着馒头，把水壶递给对方，彼此谦让了一番。,水池边
92外景  烈士陵园  日,doc_105_chunk_1,眼睛看着别处，使劲儿吞咽馒头。,水池边
92外景  烈士陵园  日,doc_105_chunk_1,逃似的离开了水池。,水池边
89外景/内景  武装部院落/接待室  日,doc_102_chunk_0,谷子地坐在那里等候，排在一个乡下打扮的小伙子前面。,接待室门外的廊子，等候中
89外景/内景  武装部院落/接待室  日,doc_102_chunk_0,谷子地有一搭无一搭地支应，不时注意接待室里的情景。,接待室门外的廊子，注意接待室情景
107外景  碑林  日,doc_120_chunk_2,谷子地呆呆地看着对方，完全没听懂。,
107外景  碑林  日,doc_120_chunk_2,谷子地脸色煞白，身体僵硬，手臂瑟瑟发抖。,
103内景  餐厅  夜  雪,doc_116_chunk_0,谷子地和曹排长等人推杯换盏，已经喝得忘乎所以了。,干部餐厅，婚礼现场
103内景  餐厅  夜  雪,doc_116_chunk_0,谷子地也醉了，拖着曹排长挨桌给大家敬酒，脸红脖子粗地嚷嚷着什么，笑得非常放肆。,干部餐厅，婚礼现场
98外景  林场小火车  日  小雨,doc_111_chunk_0,坐的靠后一些，浑身已经湿透了,车厢内，雨中行进的伐木工人
94内景  火车硬座车厢  日,doc_107_chunk_0,挤进车厢,列车车厢内，旅客拥挤
94内景  火车硬座车厢  日,doc_107_chunk_0,坐定,列车车厢内，旅客拥挤
94内景  火车硬座车厢  日,doc_107_chunk_0,拎着茶缸吃力地挤过人群,列车车厢内，旅客拥挤
104外景  瞭望台  日  秋天,doc_117_chunk_1,谷子地移到另一个方向。,平台：寻找声音
104外景  瞭望台  日  秋天,doc_117_chunk_1,谷子地倾听，往四面张望。,平台：寻找声音
104外景  瞭望台  日  秋天,doc_117_chunk_1,谷子地在平台的四面栏杆来回移动，脚步有些凌乱。,平台：寻找声音
87外景  草坡  日  秋天  （ 字幕  1954年  华东战场故地 ）,doc_100_chunk_0,谷子地出现在坡顶，风中的绿草波浪一样在他脚下翻滚。,
87外景  草坡  日  秋天  （ 字幕  1954年  华东战场故地 ）,doc_100_chunk_0,他穿着发白的旧军装，没有领章帽徽，却军容规整，用腰带扎着挎包和水壶，腰板挺得笔直。,
87外景  草坡  日  秋天  （ 字幕  1954年  华东战场故地 ）,doc_100_chunk_0,他的外表没有多大异样，只是走路有些迟疑，视力显然存在障碍。,
87外景  草坡  日  秋天  （ 字幕  1954年  华东战场故地 ）,doc_100_chunk_0,他听见了山羊的鸣叫和牧羊老汉的吆喝声。,
87外景  草坡  日  秋天  （ 字幕  1954年  华东战场故地 ）,doc_100_chunk_0,谷子地茫然地东看看西看看，不知道何去何从了。,
90外景  煤矿  日,doc_103_chunk_0,谷子地沉默寡言，不停地四处张望，像认不出故乡的失散多年的孩子。,煤矿，铁轨旁
90外景  煤矿  日,doc_103_chunk_0,谷子地在铁轨上绊了一下，李参谋扶住他。,铁轨上
90外景  煤矿  日,doc_103_chunk_0,谷子地停下来，疑惑地看着四周陌生的地貌。,铁轨旁
90外景  煤矿  日,doc_103_chunk_0,为了上坡快一些，谷子地四肢并用，别人有些跟不上他了。,煤堆陡坡
100内景  卫生队走廊/病房  晨,doc_113_chunk_4,他往赵二斗跟前凑了凑。,
100内景  卫生队走廊/病房  晨,doc_113_chunk_4,谷子地看透了对方，知道这种剧烈反应掩饰的到底是什么心情。,
100内景  卫生队走廊/病房  晨,doc_113_chunk_4,他自己的心情也不由地复杂起来，却迅速克制住了。,
93外景  同上  日,doc_106_chunk_0,朝每一块碑石弯下腰去，辨认上面的字体。,烈士碑林，无名烈士墓前
93外景  同上  日,doc_106_chunk_0,仿佛没听见，把眼睛凑近碑石。,烈士碑林，无名烈士墓前
93外景  同上  日,doc_106_chunk_0,绕到下一块，膝盖重重地磕在碑角上。,烈士碑林，无名烈士墓前
93外景  同上  日,doc_106_chunk_0,揪住疼痛的膝盖，默默地盯着碑上“无名烈士”那几个字。,烈士碑林，无名烈士墓前
100内景  卫生队走廊/病房  晨,doc_113_chunk_6,谷子地站起来，透过门上的玻璃往里看,病房走廊
100内景  卫生队走廊/病房  晨,doc_113_chunk_6,谷子地浅浅一笑，转身离开，膝盖重重地磕在长椅的木角上，压抑地呻吟了一声，疼得把眼睛闭上了,病房走廊
100内景  卫生队走廊/病房  晨,doc_113_chunk_6,他扶着走廊的墙壁离去，中途又险些碰翻了摆在墙根儿的痰盂，似乎是害怕再碰到什么东西，站在那儿不敢动了,病房走廊
111内景  机关走廊  日,doc_124_chunk_0,谷子地爽朗的笑声,会议室
107外景  碑林  日,doc_120_chunk_6,谷子地眼睛红肿，口吻平静，话锋却咄咄逼人。,
107外景  碑林  日,doc_120_chunk_0,谷子地慢吞吞地忙活。,
107外景  碑林  日,doc_120_chunk_0,他显然不愿意让别人帮忙，一切都自己来。,
107外景  碑林  日,doc_120_chunk_0,他先摆好了五包香烟，一瓶白酒。,
107外景  碑林  日,doc_120_chunk_0,然后为死者点燃了烟卷，摆在碑顶上。,
