doc_title,chunk_id,text,scene_context
34、INT. U.S. CONSULATE ZURICH -- VISA ROOM -- DAY,doc_33_chunk_3,All the papers -- all the papers they asked for -- I brought all the papers --,"Consulate office, Marie speaking with Clerk about immigration papers"
34、INT. U.S. CONSULATE ZURICH -- VISA ROOM -- DAY,doc_33_chunk_3,You only know that because I told you! (she's incredulous) Ask the case officer -- find his name -- it's on the papers -- I told,"Consulate office, Marie speaking with Clerk about immigration papers"
85、INT. PARIS APARTMENT -- DAY,doc_84_chunk_0,It's big.,"Living room, Bourne and Marie exploring."
85、INT. PARIS APARTMENT -- DAY,doc_84_chunk_0,This is like a real apartment. (she likes it) This is really yours?,"Living room, Bourne and Marie exploring."
69、INT. THE RED CAR -- DUSK,doc_68_chunk_2,"Yeah, well, welcome to the club.",Conversation with Bourne about amnesia
69、INT. THE RED CAR -- DUSK,doc_68_chunk_2,What? Like amnesia?,Conversation with Bourne about amnesia
69、INT. THE RED CAR -- DUSK,doc_68_chunk_2,Amnesia? (total incredulity) You're saying you don't remember anything that happened before two weeks ago?,Conversation with Bourne about amnesia
158、EXT. MARTHA'S VINEYARD -- DAY,doc_157_chunk_0,Can I help you?,Scooter rental shack near the beach; Marie speaking with Bourne about renting a scooter.
158、EXT. MARTHA'S VINEYARD -- DAY,doc_157_chunk_0,Yes.,Scooter rental shack near the beach; Marie speaking with Bourne about renting a scooter.
158、EXT. MARTHA'S VINEYARD -- DAY,doc_157_chunk_0,You have ID?,Scooter rental shack near the beach; Marie speaking with Bourne about renting a scooter.
158、EXT. MARTHA'S VINEYARD -- DAY,doc_157_chunk_0,It's not a problem.,Scooter rental shack near the beach; Marie speaking with Bourne about renting a scooter.
82、INT. THE LITTLE RED CAR -- DAY,doc_81_chunk_0,That's it? Is that it?,"Driving past an apartment building, Marie and Bourne discussing the address"
82、INT. THE LITTLE RED CAR -- DAY,doc_81_chunk_0,Looks familiar?,"Driving past an apartment building, Marie and Bourne discussing the address"
109、EXT. PARIS STREET -- NIGHT,doc_108_chunk_2,So what are we doing?,Paris: Marie and Bourne discuss their next move.
74、INT. TRUCKSTOP CAFE -- NIGHT,doc_73_chunk_2,What are you talking about?,"Bourne mentions something bad happened, Marie asks for clarification."
74、INT. TRUCKSTOP CAFE -- NIGHT,doc_73_chunk_2,Sounds like you were in an accident or something.,"Bourne says he doesn't know, Marie suggests an accident."
74、INT. TRUCKSTOP CAFE -- NIGHT,doc_73_chunk_2,"Okay, so you're a victim.","Bourne says he was shot twice in the back, Marie says he's a victim."
74、INT. TRUCKSTOP CAFE -- NIGHT,doc_73_chunk_2,Lots of people have guns. You're American. Americans love guns.,"Bourne mentions a gun and safe deposit box, Marie comments on Americans having guns."
142、INT. MARIE'S CAR,doc_141_chunk_0,Give me the gun,Car chase: Marie asks Bourne for the gun after the Professor fires at them.
125、INT. THE HOTEL ROOM -- NIGHT,doc_124_chunk_1,"It doesn't matter who you were before. It's who you want to be. That's all that matters. (is he listening?) We have this money. We have what we have. I had nothing before and now, I don't know, maybe I have more, maybe it's nothing, but... (he looks over) I say we leave here. We leave this place. We go until we can't go anymore.","Marie and Bourne in a bedroom, discussing leaving their current location."
125、INT. THE HOTEL ROOM -- NIGHT,doc_124_chunk_1,Yes. That's who I want to be.,"Marie and Bourne in a bedroom, Marie confirming her decision to leave after Bourne's question."
130、INT. CHINESE RESTAURANT -- BATHROOM -- DAY,doc_129_chunk_0,Did we lose them?,"After closing window and catching breath, Marie asks Bourne if they lost them."
130、INT. CHINESE RESTAURANT -- BATHROOM -- DAY,doc_129_chunk_0,Who is it?,"After Bourne shakes his head and tucks the gun, Marie asks who it is."
82、INT. THE LITTLE RED CAR -- DAY,doc_81_chunk_3,"Okay, so...","In a car, Marie (disappointed) speaks to Bourne."
82、INT. THE LITTLE RED CAR -- DAY,doc_81_chunk_3,Anytime.,"In a car, Marie responds to Bourne's thanks for the ride."
82、INT. THE LITTLE RED CAR -- DAY,doc_81_chunk_3,You got me pretty fucking curious.,"In a car, Marie responds to Bourne's statement about not knowing what's up there."
58、EXT. AN ALLEYWAY NEAR THE U.S. CONSULATE -- DAY,doc_57_chunk_1,What are you looking at?,"By car, speaking with Bourne, topic: ride request"
58、EXT. AN ALLEYWAY NEAR THE U.S. CONSULATE -- DAY,doc_57_chunk_1,What?,"By car, speaking with Bourne, topic: ride request"
