doc_title,chunk_id,description,scene_context
121、EXT. LIBERTY ISLAND (NEW YORK HARBOR) - NIGHT,doc_120_chunk_0,Venkman looks up at the Statue of Liberty looming above them.,"City skyline, Ghostbusters preparing equipment."
154、EXT. CENTRAL PARK - NIGHT (LATER),doc_153_chunk_1,Venkman looks at the Statue.,
134、INT. STATUE OF LIBERTY OBSERVATION DECK - NIGHT (CONTINUOUS),doc_133_chunk_0,(patting the Statue),
107、INT. PARKVIEW PSYCHIATRIC WARD - DAY (SAME TIME),doc_106_chunk_0,"Venkman is doing occupational therapy, weaving on a little hand-loom.","Dayroom in locked ward, occupational therapy"
15、INT. TV STUDIO - CORRIDOR - DAY (LATER),doc_14_chunk_1,Venkman starts down the hall,"Hallway outside studio, mayor and aide exiting studio"
122、INT. STATUE OF LIBERTY - MOMENTS LATER,doc_121_chunk_0,Venkman and Stantz are mounting large auditorium loudspeakers near the top of the staircase.,"Inside the statue, mounting loudspeakers near the top of the staircase"
14、INT. WKRR-TV STUDIO RECEPTION AREA - DAY (LATER),doc_13_chunk_7,humoring her,TV show segment: 'World of the Psychic' wrap-up
14、INT. WKRR-TV STUDIO RECEPTION AREA - DAY (LATER),doc_13_chunk_7,does his wrap-up right TO the CAMERA,TV show segment: 'World of the Psychic' wrap-up
14、INT. WKRR-TV STUDIO RECEPTION AREA - DAY (LATER),doc_13_chunk_7,holds up a hairless cat,TV show segment: 'World of the Psychic' wrap-up
14、INT. WKRR-TV STUDIO RECEPTION AREA - DAY (LATER),doc_13_chunk_7,puts a finger to his temple and sends out a though to his viewers,TV show segment: 'World of the Psychic' wrap-up
119、EXT. MUSEUM THEIR POV - BUILDING,doc_118_chunk_3,Venkman grabs them and lines them up at the entrance of the museum.,"Museum entrance, Venkman organizes firemen and workmen"
149、INT. MUSEUM - GHOSTBUSTERS - NIGHT (AFTER BATTLE),doc_148_chunk_1,Venkman recoils in disgust.,
149、INT. MUSEUM - GHOSTBUSTERS - NIGHT (AFTER BATTLE),doc_148_chunk_1,Venkman crosses to Dana who is snuggling the baby.,
149、INT. MUSEUM - GHOSTBUSTERS - NIGHT (AFTER BATTLE),doc_148_chunk_1,He picks up the baby.,
22、INT. DANA'S APARTMENT - DAY (LATER),doc_21_chunk_8,"He looks at the baby, pulling his feet up, trying to get the sleeper off.",
