doc_title,chunk_id,text,scene_context
101、INT. GRACE AND GEORGE'S HOUSE -- NIGHT,doc_100_chunk_0,Thanks.,Foyer: John speaks to George after helping Luke with his coat.
121、INT. BRENNAN HOUSE -- NIGHT,doc_120_chunk_0,What?,"Scene: At the door, John speaks to Mike after seeing him outside."
115、INT. GRACE AND GEORGE'S KITCHEN -- DAY,doc_114_chunk_2,Give Grandma a kiss.,"John speaks to Luke, instructing him to kiss Grandma before leaving with his bag."
11、INT. BRENNAN HOUSE - KITCHEN,doc_10_chunk_1,Now she's driving a wedge between us.,
11、INT. BRENNAN HOUSE - KITCHEN,doc_10_chunk_1,And now she is abandoning you.,
124、INT. BRENNAN HOUSE - FOYER -- NIGHT,doc_123_chunk_0,Not here. Don't come here again.,"Scene: Location not specified; John speaks to Mike about meeting location, instructing him not to return to the current place."
126、EXT. STREET - UNDER A BRIDGE -- DAY,doc_125_chunk_0,Show me how to load it.,Scene: Outside a beat-up van on a crumbling sidewalk; John is speaking with a sketchy-looking guy while handling a 9MM handgun.
111、INT. BRENNAN HOUSE - FOYER -- CONTINUOUS,doc_110_chunk_0,Give me two minutes.,"Scene at John's house: John speaks to Eugenie, a realtor, and a couple she is showing the house to, asking for a brief moment."
148、INT. MAJOR'S OFFICE -- A SHORT TIME LATER,doc_147_chunk_1,Yes.,
148、INT. MAJOR'S OFFICE -- A SHORT TIME LATER,doc_147_chunk_1,Sorry.,
15、INT. BRENNAN HOUSE - FOYER,doc_14_chunk_0,Get your --,"Scene: At John's door, during a police raid; John speaks to Detective Quinn after being stopped from moving inside."
103、EXT. HILL DISTRICT -- NIGHT,doc_102_chunk_0,Adderall?,"Scene: At a car with Mouss, John inquires about drugs."
103、EXT. HILL DISTRICT -- NIGHT,doc_102_chunk_0,I need some passports.,"Scene: At a car with Mouss, John requests passports."
116、EXT. GRACE & GEORGE'S - INSIDE THE PRIUS -- DAY,doc_115_chunk_0,A little.,"Scene: In a car, John responds to Luke's question about his face hurting."
116、EXT. GRACE & GEORGE'S - INSIDE THE PRIUS -- DAY,doc_115_chunk_0,No.,"Scene: In a car, John responds to Luke's question about whether he hit the other person back."
122、EXT. BRENNAN HOUSE - FRONT PORCH -- CONTINUOUS,doc_121_chunk_0,"Three passports, a driver's license
and social security number that can
take a credit check.",Scene: John speaks with Mike about obtaining fake documents.
122、EXT. BRENNAN HOUSE - FRONT PORCH -- CONTINUOUS,doc_121_chunk_0,That's too much.,Scene: John speaks with Mike about the price for the documents.
11、INT. BRENNAN HOUSE - KITCHEN,doc_10_chunk_0,"Mom said Happy Birthday and my father
went
. Made me tear up.",
11、INT. BRENNAN HOUSE - KITCHEN,doc_10_chunk_0,"Remember this for the custody hearing:
how Mommy is always scolding Daddy.",Scene with Lara and Luke present; John speaks to Luke about Lara's behavior.
141、INT. PRIUS -- DAY,doc_140_chunk_0,"Hi. It's John. Luke isn't feeling well, I'm going to take him home. I need Carl to cover my 2:30 class.",John calls the English Department receptionist to report that he is leaving early to take Luke home and requests a class coverage.
145、INT. COUNTY JAIL - ENTRY HALL -- DAY,doc_144_chunk_0,How are you doing today?,"At a security checkpoint, John speaks to a guard after passing through the metal detector."
145、INT. COUNTY JAIL - ENTRY HALL -- DAY,doc_144_chunk_0,Sorry.,"At a security checkpoint, John responds to a guard who told him not to touch the dish."
179、INT. JOHN'S BEDROOM -- NIGHT,doc_178_chunk_0,Luke! Time for bed.,
139、INT. BRENNAN HOUSE - GARAGE -- DAY,doc_138_chunk_0,Hi.,"Scene: In a garage, John responds to Paula who is standing in the open garage door."
139、INT. BRENNAN HOUSE - GARAGE -- DAY,doc_138_chunk_0,I hope it's nothing serious.,"Scene: In a garage, John speaks to Paula after she mentions going in for an operation."
143、EXT. DON'S PARKING LOT - MANCHESTER -- AFTERNOON,doc_142_chunk_0,I need them.,"Scene: In a car, John speaks with Mike after being confronted about waiting. Topic involves documents and urgency."
143、EXT. DON'S PARKING LOT - MANCHESTER -- AFTERNOON,doc_142_chunk_0,Which guy?,"Scene: In a car, John speaks with Mike who warns him about a cop. Topic involves identifying a suspicious individual."
177、INT. BRENNAN HOUSE -- EVENING,doc_176_chunk_0,You okay?,"Living room, John speaks to his son Luke while checking on him."
188、INT. COUNTY JAIL - ENTRY HALL -- CONTINUOUS,doc_187_chunk_0,"She's okay. Thanks, Meyer.",
104、INT. CAR -- NIGHT,doc_103_chunk_0,I can do that.,"Scene: John is in his car, speaking with Mouss who approaches him at the window."
104、INT. CAR -- NIGHT,doc_103_chunk_0,No.,"Scene: John is in his car, speaking with Mouss about a location on 5th Ave."
104、INT. CAR -- NIGHT,doc_103_chunk_0,What's your name?,"Scene: John is in his car, speaking with Mouss who has just instructed him to ask for Harv."
157、EXT. PARK -- DAY,doc_156_chunk_0,You hungry? You want your sandwich?,"Scene: On a bench in a public area, John speaks to Luke about food."
157、EXT. PARK -- DAY,doc_156_chunk_0,I remember.,"Scene: On a bench in a public area, John responds to Nicole after she introduces herself."
