doc_title,chunk_id,text,scene_context
109、EXT. PARK/WOODS - NIGHT,doc_108_chunk_1,Why don't you drive?,"In the woods, after ATV topples, Star suggests Marcus drive"
23、EXT. HIGHWAY - DAWN,doc_22_chunk_1,Judgment Day... I was just a baby.,Speaking with Kyle about Judgment Day
30、EXT. TEXAS PLAINS - NIGHT,doc_29_chunk_0,Faster!,"In a jeep at night, Star urges Kyle to drive faster while Marcus supervises."
115、EXT. COASTLINE/DOCK - NIGHT/DAWN,doc_114_chunk_4,Don't come any closer!,"On a dock, Star points rifle at Marcus and warns him not to approach."
26、INT. ABANDONED MOTEL ROOM - DAY,doc_25_chunk_1,What's a joint?,Star asks Marcus what 'joint' means.
106、INT. LABORATORY - NIGHT,doc_105_chunk_6,What?,Chamber: Kyle wakes Star from her tray; she asks 'What?'
24、EXT. REST STOP - DAY,doc_23_chunk_1,Now!,Fast-food joint entrance: Star signals to Kyle and Marcus to move.
119、INT. SUBMARINE/CORRIDOR - DAY,doc_118_chunk_1,But you're alive.,Marcus states he should be dead; Star responds he is alive.
119、INT. SUBMARINE/CORRIDOR - DAY,doc_118_chunk_2,What did it feel like? To be... one of them?,Speaking with Marcus about the feeling of being one of them
42、INT. TRANSPORT - NIGHT,doc_41_chunk_1,What's going to happen to us?,"After being attacked by an aerostat, Star speaks to Kyle about their fate."
27、INT. MOTEL CORRIDOR - DAY,doc_26_chunk_2,What's that?,STAR points to something and asks Marcus about a flower.
27、INT. MOTEL CORRIDOR - DAY,doc_26_chunk_2,"So... all those numbers... you could call them and get, like, flowers, or someone to come over and fix stuff, or bring you food... .",STAR expresses wonder about the concept of using numbers to call for services.
106、INT. LABORATORY - NIGHT,doc_105_chunk_8,I knew you'd come.,"Lab, Star speaks to CAP."
27、INT. MOTEL CORRIDOR - DAY,doc_26_chunk_4,Somebody used to sing that to me,Marcus asks Star if she's okay; Star refers to a song.
29、EXT. MOTEL - NIGHT,doc_28_chunk_3,Music...,"In a Jeep heading off-road across the plains, Star comments on the music."
58、INT. UNDERGROUND GARAGE - NIGHT,doc_57_chunk_1,I'm scared.,"Ramp, speaking to Kyle about fear"
27、INT. MOTEL CORRIDOR - DAY,doc_26_chunk_0,Just me.,"Afternoon, by room door; Star reassures Marcus she is just herself."
25、INT. FAST FOOD JOINT - DAY,doc_24_chunk_1,Yes! She's come up with some UNOPENED PACKETS OF CONDIMENTS from a bag of TRASH.,"Trash-filled area, Star and Kyle discussing condiment packets."
29、EXT. MOTEL - NIGHT,doc_28_chunk_4,"Oh no! It's gonna call a Harvester, we're dead--","In a vehicle, Star warns Marcus and Kyle about the aerostat calling a Harvester."
22、EXT. HIGHWAY - NIGHT,doc_21_chunk_16,Why? We don't need him.,Desolate world: Star discusses not needing someone with Kyle
23、EXT. HIGHWAY - DAWN,doc_22_chunk_0,Seventeen.,"Roadside near overpass, with Kyle and Marcus, discussing the year"
23、EXT. HIGHWAY - DAWN,doc_22_chunk_0,Are you sure?,"Roadside near overpass, with Kyle and Marcus, discussing the year"
23、EXT. HIGHWAY - DAWN,doc_22_chunk_0,Huh?,"Roadside near overpass, with Kyle and Marcus, discussing nuclear war"
28、EXT. MOTEL - DAY,doc_27_chunk_2,Wow. What were these like?,"Star wipes dirt off a van, revealing artwork, and asks about the design."
27、INT. MOTEL CORRIDOR - DAY,doc_26_chunk_3,Music?,Marcus and Star discussing music
27、INT. MOTEL CORRIDOR - DAY,doc_26_chunk_3,I don't remember music.,Marcus and Star discussing music
22、EXT. HIGHWAY - NIGHT,doc_21_chunk_8,Let him go!,"Star speaks to Marcus, demands release"
22、EXT. HIGHWAY - NIGHT,doc_21_chunk_8,He'll kill us both!,"Star speaks to Marcus and Boy, warns of danger"
108、EXT. OFFICE PARK FACILITY - NIGHT,doc_107_chunk_2,That looked like--,Chase in facility: Star speaks to Marcus about seeing him in headlights.
80、INT. LABORATORY - DAY,doc_79_chunk_0,"Twinkle, twinkle, little star...","Prison row, Star and Kyle singing together"
27、INT. MOTEL CORRIDOR - DAY,doc_26_chunk_1,Whatcha reading?,"With Marcus, asking about his reading"
27、INT. MOTEL CORRIDOR - DAY,doc_26_chunk_1,Would you read something to me?,"With Marcus, requesting a reading"
27、INT. MOTEL CORRIDOR - DAY,doc_26_chunk_1,There's a book inside with pictures.,"With Marcus, mentioning a book with pictures"
29、EXT. MOTEL - NIGHT,doc_28_chunk_0,Now!,carport: Star commands Marcus and Kyle to push the jeep.
25、INT. FAST FOOD JOINT - DAY,doc_24_chunk_2,Yuk!,"With Kyle and Marcus, Star reacts to a bad sauce packet."
25、INT. FAST FOOD JOINT - DAY,doc_24_chunk_2,You can read.,Star comments on Marcus reading the packet label.
25、INT. FAST FOOD JOINT - DAY,doc_24_chunk_2,Want some?,Star offers mustard to Marcus.
27、INT. MOTEL CORRIDOR - DAY,doc_26_chunk_5,"Stay with us, Marcus. Please.","With Marcus during an emotional hug, asking him to stay."
80、INT. LABORATORY - DAY,doc_79_chunk_2,"Oh no, oh no...","In the chambers, Star and Kyle hold hands as they prepare to enter."
32、INT. SERVICE STATION - DAWN,doc_31_chunk_1,It's good!,"Garage: Marcus demands Star spit out, Star says it's good."
31、EXT. SERVICE STATION - DAWN,doc_30_chunk_2,Food!,Star spots food and runs toward garage with companion.
81、INT. STAR'S TESTING CHAMBER - DAY,doc_80_chunk_0,"Up above the world so high, like a
diamond in the sky...","Tubular chamber (MRI-like), Star alone, singing"
