doc_title,chunk_id,description,scene_context
16、INT. CABIN,doc_15_chunk_22,Marge is on a public phone.,
16、INT. CABIN,doc_15_chunk_21,Marge is at the reception desk.,Downtown Radisson Hotel
16、INT. CABIN,doc_15_chunk_42,Marge clinks it.,
22、EXT. CAR,doc_21_chunk_2,Marge has a packed overnight back sitting on the unmade bed.,HOTEL ROOM
22、EXT. CAR,doc_21_chunk_2,"She is ready to leave, already wearing her parka, but is on the phone.",HOTEL ROOM
11、INT. PROWLER,doc_10_chunk_0,Marge is driving,Driving in a car with Lou as passenger
16、INT. CABIN,doc_15_chunk_36,Again she glances about.,"Restaurant table, after Marge orders a Diet Coke."
14、INT. STRIPPER CLUB,doc_13_chunk_0,Marge sits talking with two young women at one end of an elevated dance platform.,"Deserted club, elevated dance platform"
22、EXT. CAR,doc_21_chunk_16,"Marge enters behind her, sliding her own.","Serving line, moving along the line."
16、INT. CABIN,doc_15_chunk_35,Marge enters.,Hotel Bar
16、INT. CABIN,doc_15_chunk_35,She looks around the bar,Hotel Bar
16、INT. CABIN,doc_15_chunk_5,Marge props herself up next to the still-sleeping Norm.,with Norm still sleeping
18、INT. CAR,doc_17_chunk_2,"Marge sits on the bed in her hotel room, shoes off, massaging her feet.",Radisson hotel room
18、INT. CAR,doc_17_chunk_2,The phone is pressed to her ear,Radisson hotel room
22、EXT. CAR,doc_21_chunk_36,Marge is advancing.,
22、EXT. CAR,doc_21_chunk_36,"She holds a gun extended toward Grimsrud, who is still turned away.",
22、EXT. CAR,doc_21_chunk_36,"Marge closes in, grimacing.",
22、EXT. CAR,doc_21_chunk_43,She leans forward to the dash to give two short signalling WHOOPS on her siren.,Inside a squad car during a snowy night
22、EXT. CAR,doc_21_chunk_43,She turns on her flashers.,Inside a squad car during a snowy night
22、EXT. CAR,doc_21_chunk_43,She leans back with a creak and jangle of utilities.,Inside a squad car during a snowy night
22、EXT. CAR,doc_21_chunk_43,"She stares forward, shakes her head.",Inside a squad car during a snowy night
22、EXT. CAR,doc_21_chunk_30,We are slowing as we approach a short driveway leading down to a cabin.,"Driving around Moose Lake, approaching a cabin."
16、INT. CABIN,doc_15_chunk_16,"Marge takes it with one hand and looks, her other hand frozen with a forkful of food.","Cafeteria table, Gary hands Marge a flimsy"
16、INT. CABIN,doc_15_chunk_33,Marge rises,"Office, Marge rising after conversation with Jerry"
31、EXT. GUNDERSON HOUSE,doc_30_chunk_0,Marge is making her way down the icy front stoop to her prowler.,"Dawn, front stoop"
22、EXT. CAR,doc_21_chunk_52,Marge absently rests her own hand on top of his.,"Watching TV, Norm's hand on Marge's stomach"
22、EXT. CAR,doc_21_chunk_51,Her eyes go back to the TV.,
32、INT. GUNDERSON HOUSE,doc_31_chunk_0,Marge stamps the snow off her shoes.,Front door
22、EXT. CAR,doc_21_chunk_12,Marge stares.,office
22、EXT. CAR,doc_21_chunk_12,her stare breaks.,office
22、EXT. CAR,doc_21_chunk_12,She glances idly around the office.,office
22、EXT. CAR,doc_21_chunk_12,She turns it to face her.,office
22、EXT. CAR,doc_21_chunk_28,"Marge is peering to one side as she drives, looking through the bare trees that border the road on a declivity that runs down to a large frozen lake.",Driving in her cruiser along a road with bare trees toward a frozen lake.
22、EXT. CAR,doc_21_chunk_35,"Marge slogs down to the next tree, panting, looking.","Snowy field, Marge moving to next tree"
22、EXT. CAR,doc_21_chunk_35,Marge's eyes shift.,"Snowy field, Marge's eyes shift"
32、INT. GUNDERSON HOUSE,doc_31_chunk_6,"She gets up, sweeping snow from her knees.",
22、EXT. CAR,doc_21_chunk_32,Marge pulls her prowler over some distance past the cabin.,ROAD EXTERIOR: Marge approaches the cabin
22、EXT. CAR,doc_21_chunk_32,"She gets out, zips up her khaki parka and pulls up its fur-lined hood.",ROAD EXTERIOR: Marge approaches the cabin
22、EXT. CAR,doc_21_chunk_32,"For a moment, she stands listening to the muffled roar of the power tool.",ROAD EXTERIOR: Marge approaches the cabin
22、EXT. CAR,doc_21_chunk_32,"Then, with one curved arm half pressing against, half supporting her belly, she takes slow, gingerly steps down the slope, through the deep snow, through the trees angling toward the cabin and the source of the grinding noise.",ROAD EXTERIOR: Marge approaches the cabin
22、EXT. CAR,doc_21_chunk_34,Marge advances.,Cabin's back lot
22、EXT. CAR,doc_21_chunk_39,"Marge walks toward him, gun trained on him as her other hand reaches under her parka and gropes around her waist.",Marge approaches wounded Grimsrud.
22、EXT. CAR,doc_21_chunk_39,"It comes out with a pair of handcuffs, which she opens with a snap of the wrist.",Marge approaches wounded Grimsrud.
22、EXT. CAR,doc_21_chunk_42,"Marge, gazing forward, seems to be talking to herself.","In a car, Marge is driving."
22、EXT. CAR,doc_21_chunk_42,She glances up in the rear-view mirror.,"In a car, Marge is driving."
22、EXT. CAR,doc_21_chunk_42,Marge pulls over.,"In a car, Marge is driving."
22、EXT. CAR,doc_21_chunk_33,"She slogs from tree to tree, letting each one support her downhill-leaning weight for a moment before slogging to the next.","Forest, Marge moving between trees"
22、EXT. CAR,doc_21_chunk_33,"Marge stands panting by one tree, her breath vaporizing out of her snorkel hood.","Forest, Marge stops to pant as the roar grows louder"
22、EXT. CAR,doc_21_chunk_33,She squints,"Forest, Marge squints"
22、EXT. CAR,doc_21_chunk_38,"Marge twists her body sideways, shielding herself.","Snowy hillside, Grimsrud throwing log and running, Marge shielding"
22、EXT. CAR,doc_21_chunk_38,She fires in the air.,"Snowy hillside, Grimsrud fleeing uphill, Marge firing"
22、EXT. CAR,doc_21_chunk_38,She lowers the gun and carefully sighs.,"Snowy hillside, Grimsrud fleeing uphill, Marge firing"
22、EXT. CAR,doc_21_chunk_38,She fires.,"Snowy hillside, Grimsrud fleeing uphill, Marge firing"
22、EXT. CAR,doc_21_chunk_38,Marge sights again.,"Snowy hillside, Grimsrud fleeing uphill, Marge firing"
22、EXT. CAR,doc_21_chunk_38,She fires again.,"Snowy hillside, Grimsrud fleeing uphill, Marge firing"
30、EXT. ROAD,doc_29_chunk_4,She hangs up.,
32、INT. GUNDERSON HOUSE,doc_31_chunk_5,"Marge suddenly doubles over, putting her head between her knees down near the snow.",near the snow
