doc_title,chunk_id,fact,scene_context
14、INT. WKRR-TV STUDIO RECEPTION AREA - DAY (LATER),doc_13_chunk_0,Peter Venkman is the host of the show 'World of the Psychic'.,Opening scene: Lobby monitors and talk show set
14、INT. WKRR-TV STUDIO RECEPTION AREA - DAY (LATER),doc_13_chunk_0,Peter Venkman is an ex-Ghostbuster.,Opening scene: Lobby monitors and talk show set
155、EXT. LIBERTY ISLAND - DAY (WEEKS LATER),doc_154_chunk_0,Peter Venkman is present as an honored guest at the commemoration of Liberty's return.,Commemoration ceremony for Liberty's return at the pedestal
150、INT. MUSEUM - NEW PAINTING - NIGHT,doc_149_chunk_0,The painting depicts an archangel whose face resembles Venkman.,
22、INT. DANA'S APARTMENT - DAY (LATER),doc_21_chunk_6,Venkman has a rapport with the baby.,"Venkman clowning with baby, Dana amused by rapport"
24、EXT. EAST 77TH STREET - DAY (LATER),doc_23_chunk_0,Venkman is retracing the path of the runaway buggy.,"On the street, retracing the path of the runaway buggy."
28、EXT. EAST 77TH STREET - NIGHT (CONTINUOUS ACTION),doc_27_chunk_1,Venkman arrives at the scene.,"Police officer questioning Spengler, Venkman and Stantz arrive."
31、EXT. EAST 77TH STREET - HOLE - NIGHT (CONTINUOUS ACTION),doc_30_chunk_0,Venkman has no idea what he is talking about.,
44、INT. COURTROOM - WITNESS STAND - LATER,doc_43_chunk_0,Venkman is on the stand.,Courtroom: Venkman is on the stand being questioned by Louis.
45、INT. COURTROOM - LATER,doc_44_chunk_2,"Peter Venkman is found guilty on all counts of conspiracy, fraud, and willful destruction of public property.",Courtroom scene
44、INT. COURTROOM - WITNESS STAND - LATER,doc_43_chunk_1,Venkman is the witness in the trial.,
59、INT. ORREFORS GLASS STORE - CONTINUOUS ACTION,doc_58_chunk_0,Peter Venkman is talking to the manager.,"Store, Stantz and Venkman talking to the manager while Winston and Spengler set up devices."
46、INT. COURTROOM - GHOST BATTLE - DAY,doc_45_chunk_2,Venkman is informed that the Scoleri Brothers were electrocuted in 1948 and now intend to kill the judge.,"Courtroom, during trial, as spectral intruders (Scoleri Brothers) appear."
49、EXT. FIREHOUSE - DAY,doc_48_chunk_0,Venkman enters the firehouse.,firehouse main entrance
56、EXT. CLEARING IN PARK - DAY (SAME TIME),doc_55_chunk_1,Venkman captures the ghost jogger.,"Track, benches, ghost jogger capture"
22、INT. DANA'S APARTMENT - DAY (LATER),doc_21_chunk_8,Venkman explicitly commits to supervising.,
63、INT. MUSEUM - RESTORATION STUDIO - DAY (MOMENTS LATER),doc_62_chunk_7,Peter Venkman exits the studio.,"The studio: After saying goodbye to Janosz, Peter Venkman exits."
24、EXT. EAST 77TH STREET - DAY (LATER),doc_23_chunk_1,Venkman brings traffic to a standstill.,"Intersection, Dana points to the spot where the buggy stopped."
66、INT. VENKMAN'S LOFT - SAME NIGHT (LATER),doc_65_chunk_2,Peter Venkman explicitly commits to having Ray and Egon check the bathtub.,"Loft, Dana reports museum painting incident"
35、EXT. EAST 77TH STREET - HOLE - NIGHT (CONTINUOUS ACTION),doc_34_chunk_0,Venkman has previously attempted the belligerent worker ploy.,Con Ed Supervisor arrives and questions Venkman and Spengler.
66、INT. VENKMAN'S LOFT - SAME NIGHT (LATER),doc_65_chunk_9,Venkman commits to putting the baby down for Dana.,"Living room: Dana expresses concern about the baby, Venkman offers to put the baby down."
67、EXT. MUSEUM - DAY (NEXT MORNING),doc_66_chunk_0,Venkman mentioned Vigo to the team.,"Outside building, team arrives and reports on Dana's apartment."
69、INT. MUSEUM - RESTORATION STUDIO - DAY (MOMENTS LATER),doc_68_chunk_3,Venkman commits to leaving the scene.,Room with the painting of Vigo
83、INT. VENKMAN'S LOFT - ENTRANCE HALL - CONTINUOUS ACTION,doc_82_chunk_2,Peter Venkman explicitly refuses to join the sewer trip.,"Living room, Dana enters and greets, Venkman declines sewer trip."
78、EXT. ECTO-2 - DAY (CONTINUOUS ACTION),doc_77_chunk_0,Peter Venkman instructs Egon Spengler to watch Stantz and not let him shave.,"After car crash, Ghostbusters inspect car damage."
154、EXT. CENTRAL PARK - NIGHT (LATER),doc_153_chunk_1,Venkman receives the bill from the Mayor.,The Mayor refuses to pay the bill and hands it back to Venkman.
88、INT. ARMAND RESTAURANT ENTRANCE - NIGHT (CONTINUOUS ACTION),doc_87_chunk_0,Venkman is present in the restaurant.,"Restaurant interior: Stantz, Spengler, and Winston enter in long underwear and Stantz spots Venkman."
63、INT. MUSEUM - RESTORATION STUDIO - DAY (MOMENTS LATER),doc_62_chunk_5,Venkman's attempt to reach the painting is terminated by Janosz grabbing his hand.,
89、EXT. ARMAND'S RESTAURANT - NIGHT (CONTINUOUS ACTION),doc_88_chunk_0,The police grant Peter permission to follow them to the mayor.,Police car stop
85、INT. ARMAND RESTAURANT - NIGHT (LATER),doc_84_chunk_3,Peter Venkman kisses Dana.,Romantic scene with Dana
88、INT. ARMAND RESTAURANT ENTRANCE - NIGHT (CONTINUOUS ACTION),doc_87_chunk_6,Venkman is under arrest.,"Restaurant, police arrest"
96、INT. STUDY - CONTINUOUS ACTION,doc_95_chunk_2,Peter Venkman is present with Hardemeyer after the mayor exits.,"Mayor exits, leaving Ghostbusters with Hardemeyer."
70、EXT. MUSEUM - DAY (LATER),doc_69_chunk_0,Peter Venkman assigns Stantz and Spengman to investigate Vigo and Poha.,ECTO-2
79、INT. VENKMAN'S LOFT - DAY (LATER),doc_78_chunk_5,Peter Venkman has a hamper.,"In the room, during a laundry discussion."
