id,scene,question,answer,evidence,qa_type
1,43、INT. CLERICAL AREA - ARCHIVES - DAY,How does Bianca handle the twenty-dollar bill Gale offers?,"Slaps Gale's hand, takes it, folds it, and slides it between her cleavage.","Bianca slaps her hand, takes it, folding it up, sliding it between her cleavage.",detailed description
2,65、INT. FOYER - MACHER HOUSE SET - NIGHT,When does Sidney lock the door again?,After the ghost attacks Dewey and he is unconscious.,"The GHOST races for the open door. Sid screams, kicks it closed. Locking and bolting it again. A crash O.S. Sid turns around --",temporal references
3,65、INT. FOYER - MACHER HOUSE SET - NIGHT,When does the ghost launch the knife?,After Dewey's gun clicks empty.,"DEWEY (tightening grip on gun) Hold it right there you fucker! Dewey goes to fire. CLICK. CLICK. CLICK. Out of bullets. DEWEY (nervously) OH shit! THE GHOST winds back, launches the knife.",temporal references
4,61、INT. BECKER HOUSE - SET - NIGHT,"In [61、INT. BECKER HOUSE - SET - NIGHT], Where does Sid run to after facing the GHOST?",The front porch of a mock-up of her childhood home,She runs straight up the front porch of a mock-up of her own childhood home.,scene localization
5,3、EXT. HOLLYWOOD HILLS - NIGHT,"In [3、EXT. HOLLYWOOD HILLS - NIGHT], What is Ben's behavioral state as he arrives?",Screeching around the corner in his FORD EXPLORER with smoking tires.,Ben comes screeching around the corner in his FORD EXPLORER. Tires smoking.,character states
6,17、INT. HALLWAY - NIGHT,"In [17、INT. HALLWAY - NIGHT], What is Sarah's immediate action upon seeing the shape?","She screams, spins around, and runs for the prop room.","She screams, spins around, runs for the prop room.",character states
7,41、EXT. SUNRISE STUDIO FILM ARCHIVES - DAY,How did Jennifer open the door after Gale's failed attempts?,flashing a Sunrise Studios Key Card and swiping it,flashing a Sunrise Studios Key Card and swipes and opens the door,detailed description
8,38、EXT. SUNRISE STUDIOS BACK LOT - DAY,What item does Karen hold when she meets Sidney and Dewey?,A video tape marked SCARY MOVIES 101,"She holds something in her hand, a video tape marked SCARY MOVIES 101.",detailed description
9,44、INT. FILE ROOM - ARCHIVES - DAY,What is inside the folder that Gale takes from Bianca?,8x10 headshots of Maureen Prescott when younger and a Xeroxed listing of her films,Inside are 8x10 headshots of MAUREEN PRESCOTT when she was younger. Behind the pictures is a Xeroxed listing of the films she's starred in.,detailed description
10,1、EXT. HOLLYWOOD FREEWAY - SUNSET - AERIAL,What auditory element is described in the scene?,A cacophony of car horns,A cacophony of car horns rise up on the soundtrack,detailed description
11,39、INT. TRAILER - STUDIO LOT - DAY,"In [39、INT. TRAILER - STUDIO LOT - DAY], What does Randy believe about true trilogies in the horror field?",They involve revisiting the beginning to reveal hidden truths.,true trilogies are all about going back to the beginning and discovering something that wasn't true from the get go,dialogue/beliefs
12,20、INT. PROP ROOM - NIGHT,"In [20、INT. PROP ROOM - NIGHT], What is Sarah's physical condition after being stabbed?",Mortally wounded with a knife in her chest and glass shards tearing her back.,"The killer drives his knife into Sarah's chest, once, twice, and delivers a final killing blow to her Adam's apple. She staggers forward. Her killer grabs her by her long buxom hair, and hucks her into a glass door. THE DOOR EXPLODES, SARAH'S BODY falling through, shards of glass tearing out her back.",character states
13,26、INT. INTEROGATION ROOM - POLICE STATION - NIGHT,What does Roman claim about his interaction with Sarah Darling?,He denies calling her or telling her to go anywhere.,ROMAN: I never called her! I never told her to go anywhere!,dialogue/beliefs
